time,intensity,distance
0.001,846,2.91
0.002,848,2.91
0.007,848,2.91
0.023,848,2.81
0.039,848,2.91
0.056,847,2.91
0.073,847,2.91
0.090,847,2.81
0.106,847,2.91
0.122,847,2.91
0.140,846,2.91
0.156,847,2.81
0.173,845,2.91
0.189,846,2.91
0.206,846,2.91
0.223,848,2.81
0.239,848,2.91
0.256,846,2.91
0.273,846,2.91
0.289,847,2.81
0.306,847,2.91
0.322,846,2.91
0.339,846,2.91
0.356,847,2.81
0.372,848,2.91
0.389,846,2.91
0.406,846,2.92
0.422,847,2.81
0.439,848,2.91
0.455,847,2.91
0.473,848,2.91
0.489,847,2.81
0.505,847,2.91
0.522,850,2.50
0.539,849,2.50
0.556,849,2.81
0.572,850,2.91
0.588,853,2.91
0.606,851,2.55
0.622,852,2.47
0.638,852,2.55
0.655,852,2.55
0.672,854,2.55
0.689,852,2.45
0.705,853,2.55
0.721,853,2.55
0.739,853,2.55
0.755,852,2.45
0.772,853,2.55
0.788,853,2.55
0.805,854,2.55
0.822,853,2.45
0.838,854,2.55
0.855,853,2.57
0.872,865,2.60
0.888,887,5.30
0.905,896,2.70
0.921,901,2.40
0.939,900,2.45
0.955,899,2.35
0.971,901,2.45
0.988,899,2.47
1.005,897,2.04
1.021,897,1.94
1.038,896,2.04
1.054,896,2.04
1.072,896,2.04
1.088,895,2.01
1.104,895,1.68
1.121,894,1.73
1.138,894,1.79
1.155,891,1.68
1.171,891,1.79
1.187,891,1.79
1.205,890,1.79
1.221,891,1.68
1.238,890,1.79
1.254,890,1.79
1.271,890,1.79
1.288,888,1.73
1.304,885,1.89
1.320,879,1.60
1.338,876,1.63
1.354,871,1.99
1.371,867,1.79
1.387,864,1.85
1.404,859,1.89
1.421,856,1.89
1.437,849,2.04
1.454,845,2.09
1.471,843,2.16
1.487,838,2.11
1.504,835,2.26
1.520,834,2.24
1.538,835,2.24
1.554,836,2.14
1.570,836,2.24
1.587,834,2.24
1.604,834,2.24
1.620,835,2.14
1.637,832,2.30
1.653,831,2.35
1.671,825,2.40
1.687,817,2.35
1.703,812,2.55
1.720,804,2.67
1.737,800,2.72
1.754,791,2.70
1.770,783,2.91
1.786,779,2.96
1.804,773,3.03
1.820,771,2.96
1.837,769,3.49
1.853,769,3.54
1.870,770,3.11
1.887,769,3.01
1.903,768,3.11
1.920,768,3.11
1.937,767,3.11
1.953,766,3.06
1.970,763,3.21
1.986,760,3.21
2.003,758,3.26
2.020,757,3.16
2.036,756,3.26
2.053,755,3.32
2.070,751,3.37
2.086,743,3.77
2.103,738,3.52
2.119,735,3.57
2.137,733,3.62
2.153,731,3.52
2.169,729,3.62
2.186,731,3.62
2.203,729,3.64
2.220,729,3.52
2.236,730,3.62
2.252,729,3.62
2.270,729,3.62
2.286,729,3.52
2.302,729,3.62
2.319,730,3.62
2.336,729,3.62
2.353,728,3.52
2.369,730,3.62
2.385,728,3.62
2.403,729,3.64
2.419,729,3.52
2.436,729,3.62
2.452,730,3.62
2.469,731,3.62
2.486,731,3.52
2.502,730,3.62
2.519,732,3.62
2.536,732,3.62
2.552,730,3.52
2.569,732,3.62
2.585,730,3.62
2.603,730,3.62
2.619,730,3.52
2.635,730,3.62
2.652,729,3.62
2.669,729,3.62
2.685,729,3.52
2.702,727,3.67
2.718,725,3.67
2.736,724,3.67
2.752,724,3.57
2.768,723,3.67
2.785,723,3.67
2.802,723,3.67
2.819,723,3.57
2.835,723,3.67
2.851,724,3.67
2.869,725,3.67
2.885,726,3.57
2.902,726,3.67
2.918,727,3.67
2.935,725,3.67
2.952,727,3.57
2.968,726,3.69
