time,intensity,distance
0.001,954,3.69
0.002,955,5.42
0.007,954,5.42
0.023,953,5.32
0.039,955,5.42
0.056,955,5.42
0.073,955,5.41
0.090,954,5.37
0.106,953,2.72
0.122,953,2.72
0.140,954,2.72
0.156,953,2.60
0.173,953,2.70
0.189,955,2.72
0.206,954,2.72
0.223,955,2.62
0.239,954,2.70
0.256,955,2.72
0.273,955,2.72
0.289,955,2.60
0.306,955,2.72
0.322,953,2.72
0.339,955,2.72
0.356,955,3.47
0.372,955,3.18
0.389,954,2.77
0.406,955,2.36
0.422,954,2.26
0.439,953,2.82
0.455,953,2.41
0.473,953,2.47
0.489,952,2.47
0.505,949,2.62
0.522,948,2.31
0.539,948,2.35
0.556,947,2.31
0.572,947,2.47
0.588,947,2.52
0.606,946,2.57
0.622,946,2.52
0.638,946,2.26
0.655,945,2.31
0.672,945,2.31
0.689,944,2.24
0.705,944,2.35
0.721,944,2.41
0.739,945,2.47
0.755,945,2.82
0.772,944,2.57
0.788,942,2.67
0.805,941,2.77
0.822,940,2.75
0.838,937,3.01
0.855,935,3.18
0.872,933,3.26
0.888,932,3.69
0.905,932,3.83
0.921,931,3.88
0.939,930,3.93
0.955,929,3.88
0.971,930,4.05
0.988,927,3.69
1.005,928,3.74
1.021,928,4.03
1.038,927,4.15
1.054,927,4.20
1.072,927,4.18
1.088,927,4.10
1.104,927,4.25
1.121,927,4.28
1.138,926,4.35
1.155,926,4.35
1.171,924,4.51
1.187,923,4.56
1.205,922,5.07
1.221,922,5.07
1.238,922,5.27
1.254,921,4.90
1.271,918,5.73
1.288,919,5.37
1.304,918,5.98
1.320,916,5.63
1.338,914,5.63
1.354,913,5.27
1.371,914,5.41
1.387,913,5.88
1.404,912,5.88
1.421,912,5.93
1.437,911,5.68
1.454,909,5.71
1.471,910,5.61
1.487,910,5.68
1.504,908,5.83
1.520,908,5.88
1.538,908,5.81
1.554,907,5.83
1.570,906,5.98
1.587,906,6.44
1.604,906,5.93
1.620,905,5.97
1.637,905,6.14
1.653,905,6.12
1.671,905,6.09
1.687,903,5.68
1.703,903,6.24
1.720,903,6.34
1.737,902,6.29
1.754,899,6.39
1.770,899,6.19
1.786,898,6.65
1.804,896,6.65
1.820,894,6.80
1.837,894,6.55
1.853,893,6.65
1.870,891,7.06
1.887,890,6.75
1.903,888,7.31
1.920,887,7.00
1.937,886,6.95
1.953,885,7.00
1.970,884,7.16
1.986,885,7.21
2.003,884,7.16
2.020,884,7.16
2.036,883,7.31
2.053,882,7.31
2.070,882,7.24
2.086,882,7.31
2.103,881,7.46
2.119,881,7.51
2.137,879,7.46
2.153,879,7.51
2.169,877,7.67
2.186,878,7.72
2.203,876,7.70
2.220,875,7.77
2.236,873,7.97
2.252,872,8.06
2.270,871,8.02
2.286,870,8.08
2.302,870,8.23
2.319,870,8.28
2.336,869,8.55
2.353,867,8.60
2.369,868,8.70
2.385,866,8.76
2.403,866,8.38
2.419,866,8.40
2.436,864,8.55
2.452,862,9.06
2.469,862,8.70
2.486,859,8.81
2.502,858,8.96
2.519,857,9.06
2.536,856,9.42
2.552,856,9.11
2.569,855,9.27
2.585,853,9.69
2.603,854,9.21
2.619,852,9.27
2.635,852,9.42
2.652,851,9.42
2.669,853,9.37
2.685,851,9.37
2.702,850,9.47
2.718,850,9.47
2.736,852,9.37
2.752,850,9.78
2.768,852,9.88
2.785,849,9.83
2.802,850,9.88
2.819,849,9.88
2.835,848,10.05
2.852,849,9.59
2.870,847,9.64
2.886,847,9.72
2.903,844,10.29
2.920,845,10.29
2.938,843,10.34
2.956,842,10.03
2.973,842,10.18
2.992,840,10.18
3.009,838,10.69
3.026,837,10.91
3.044,837,10.59
3.062,835,10.54
3.080,833,11.00
3.097,834,11.20
3.115,832,11.17
3.133,832,11.20
3.150,831,11.27
3.168,830,11.02
3.185,828,10.95
3.204,829,11.00
3.221,827,11.48
3.238,826,11.68
3.256,825,11.61
3.274,825,11.66
3.292,824,11.42
3.309,823,11.48
3.328,822,11.82
3.345,821,11.88
3.362,821,12.07
3.380,819,12.04
3.398,819,11.73
3.416,817,11.78
3.433,816,12.34
3.450,815,12.34
3.469,814,12.44
3.486,813,12.53
3.504,812,12.70
3.521,810,12.65
3.539,810,12.73
3.557,808,12.90
3.574,808,12.89
3.593,806,12.99
3.610,805,13.06
3.628,805,13.67
3.645,804,13.21
3.663,802,13.67
3.681,802,13.36
3.698,801,13.52
3.716,799,13.45
3.734,800,13.52
3.751,797,13.57
3.769,798,13.62
3.786,796,13.70
3.805,796,13.77
3.822,795,13.92
3.840,795,13.91
3.858,793,13.96
3.875,792,14.03
3.893,791,14.23
3.910,790,14.16
3.929,789,14.64
3.946,788,14.33
3.963,788,14.48
3.981,786,14.84
3.999,785,14.88
4.017,785,14.98
4.034,784,15.05
4.051,782,14.67
4.070,782,15.13
4.087,782,15.15
4.105,780,15.20
4.123,781,15.25
4.141,780,15.28
4.158,780,15.45
4.175,779,15.40
4.194,779,15.05
4.211,778,15.10
4.229,778,15.18
4.246,776,15.61
4.264,776,15.66
4.282,776,15.71
4.299,775,15.74
4.317,774,15.74
4.335,774,15.81
4.353,774,15.81
4.370,773,15.86
4.387,773,15.84
4.406,772,15.90
4.423,773,16.01
4.441,773,15.91
4.459,772,15.90
4.476,772,15.90
4.494,771,15.50
4.511,771,15.91
4.530,773,15.95
4.547,772,15.54
4.564,772,15.54
4.582,771,15.96
4.600,771,16.06
4.618,770,16.12
4.635,769,16.22
4.653,769,16.30
4.671,767,16.35
4.688,765,16.57
4.706,764,16.61
4.724,762,16.78
4.742,760,16.93
4.759,758,17.09
4.776,757,17.17
4.795,754,17.39
4.812,752,17.49
4.830,751,17.65
4.847,749,17.75
4.866,747,17.85
4.883,747,18.21
4.900,746,18.00
4.918,746,18.00
4.936,746,18.04
4.954,746,18.05
4.971,744,18.51
4.989,746,18.11
5.007,744,18.16
5.024,744,18.21
5.042,743,18.26
5.060,742,18.36
5.078,741,18.92
5.095,738,19.07
5.112,736,18.89
5.131,734,19.48
5.148,732,19.13
5.166,730,19.38
5.183,728,19.94
5.201,727,19.63
5.219,725,19.62
5.236,724,20.25
5.255,723,20.40
5.272,721,20.04
5.289,720,20.14
5.307,720,20.65
5.325,719,20.71
5.343,718,21.11
5.360,718,21.69
5.378,717,21.27
5.396,717,21.27
5.413,717,21.23
5.431,716,21.37
5.448,715,21.42
5.467,716,21.47
5.484,715,21.39
5.501,714,21.52
5.519,715,21.57
5.537,714,21.52
5.555,714,21.68
5.572,713,21.73
5.591,713,21.78
5.608,711,22.17
5.625,711,21.90
5.643,710,21.93
5.661,709,21.98
5.679,709,21.93
5.696,708,22.08
5.713,708,21.73
5.732,707,21.78
5.749,706,21.78
5.767,706,21.95
5.784,706,22.44
5.803,704,21.98
5.820,704,22.15
5.837,703,22.19
5.856,702,22.70
5.873,702,22.64
5.891,701,23.22
5.908,701,22.80
5.926,700,23.31
5.944,700,22.85
5.961,699,23.00
5.979,698,23.05
5.997,698,22.66
6.014,697,23.05
6.032,697,23.61
6.049,696,23.72
6.068,695,23.24
6.085,695,23.41
6.103,695,23.89
6.121,694,24.33
6.138,694,24.28
6.156,693,24.43
6.173,692,24.48
6.192,692,24.43
6.209,692,24.07
6.226,691,23.82
6.244,691,23.89
6.262,690,24.24
6.280,689,24.75
6.297,688,50.88
6.315,687,25.40
6.333,687,24.94
6.350,687,25.79
6.368,686,63.22
6.386,687,25.45
6.404,687,62.75
6.421,686,67.00
6.438,685,124.71
6.458,686,123.44
6.476,685,50.00
6.494,685,50.05
6.511,683,116.01
6.531,683,127.09
6.549,684,25.82
6.566,682,25.93
6.584,682,124.73
6.603,680,30.99
6.621,680,26.96
6.638,679,26.15
6.657,680,26.08
6.674,680,26.15
6.691,678,26.30
6.709,678,26.28
6.727,678,26.64
6.745,678,26.66
6.762,679,26.76
6.779,678,26.66
6.798,678,29.63
6.815,678,30.89
6.833,678,31.76
6.850,678,31.38
6.868,677,27.68
6.886,677,27.83
6.903,675,26.61
6.922,676,26.15
6.939,674,26.20
6.957,674,26.35
6.974,675,27.20
6.992,673,27.15
7.010,673,27.20
7.027,672,27.37
7.045,673,26.93
7.063,671,27.35
7.080,672,26.95
7.098,671,27.52
7.115,671,27.90
7.134,670,28.80
7.151,671,28.54
7.169,670,28.14
7.187,670,28.02
7.204,670,31.40
7.222,669,33.54
7.239,670,71.84
7.258,668,52.12
7.275,668,32.11
7.292,667,30.23
7.310,666,29.75
7.328,665,28.54
7.346,666,29.43
7.363,665,30.40
7.380,665,31.57
7.399,665,32.42
7.416,665,34.20
7.434,665,65.59
7.452,664,66.83
7.470,664,66.83
7.487,665,66.93
7.504,664,65.16
7.523,665,66.42
7.540,665,62.70
7.558,665,66.10
7.575,665,64.36
7.593,664,69.77
7.611,663,73.02
7.628,664,123.85
7.647,664,122.20
7.666,663,71.84
7.684,662,120.50
7.702,664,120.50
7.721,664,121.35
7.740,663,70.16
7.757,663,66.06
7.775,663,63.51
7.793,662,63.50
7.811,663,64.33
7.828,663,61.52
7.845,663,61.40
7.864,662,61.44
7.881,662,61.42
7.899,662,61.13
7.917,663,62.27
7.934,662,62.70
7.952,663,62.83
7.969,662,123.45
7.989,662,117.23
8.007,661,66.40
8.025,661,61.13
8.042,661,61.17
8.060,660,63.56
8.078,660,122.89
8.096,659,121.72
8.115,660,52.85
8.133,660,51.20
8.151,658,50.46
8.168,658,50.78
8.186,658,49.93
8.204,658,49.54
8.221,658,50.80
8.239,658,49.96
8.257,657,51.65
8.274,657,52.92
8.292,656,114.84
8.310,656,52.89
8.329,655,49.96
8.346,656,49.96
8.364,655,49.15
8.381,655,35.70
8.399,654,36.16
8.417,654,51.24
8.434,653,52.92
8.453,653,50.85
8.470,654,50.41
8.487,654,50.81
8.505,655,51.24
8.523,654,50.81
8.541,654,50.00
8.558,654,50.81
8.576,654,49.98
8.594,653,50.41
8.611,653,51.24
8.629,654,49.98
8.646,653,49.57
8.665,654,50.41
8.682,654,50.10
8.699,654,49.98
8.718,654,50.39
8.735,653,50.39
8.753,653,50.10
8.770,654,50.83
8.788,653,49.98
8.806,653,50.00
8.823,653,50.00
8.841,653,50.41
8.859,653,50.00
8.877,653,50.42
8.894,653,52.51
8.911,652,52.51
8.930,651,51.68
8.947,650,52.11
8.965,650,52.09
8.983,650,52.11
9.000,650,52.09
9.018,650,52.09
9.035,651,52.51
9.054,650,52.11
9.071,649,51.68
9.089,649,52.11
9.106,649,52.51
9.124,650,52.51
