time,intensity,distance
0.001,974,2.09
0.002,974,2.57
0.007,976,2.55
0.023,974,2.50
0.039,976,2.65
0.056,974,2.70
0.073,972,2.30
0.090,972,2.24
0.106,974,2.35
0.122,969,2.40
0.140,966,2.55
0.156,965,2.60
0.173,960,2.86
0.189,957,3.52
0.206,957,3.28
0.223,960,3.26
0.239,958,3.98
0.256,957,3.72
0.273,955,3.93
0.289,952,3.62
0.306,950,4.49
0.322,946,4.85
0.339,942,5.10
0.356,939,4.79
0.372,936,5.46
0.389,936,5.61
0.406,933,5.61
0.422,932,5.30
0.439,930,5.97
0.455,927,6.12
0.473,928,6.68
0.489,924,6.58
0.505,923,6.99
0.522,919,7.65
0.539,917,7.28
0.556,915,7.34
0.572,912,7.50
0.588,910,8.01
0.606,910,7.60
0.622,910,7.70
0.638,910,7.43
0.655,908,7.50
0.672,909,7.85
0.689,908,7.89
0.705,909,8.06
0.721,906,8.11
0.739,906,8.06
0.755,905,8.09
0.772,907,8.21
0.788,905,8.21
0.805,903,8.11
0.822,898,7.75
0.838,899,8.31
0.855,896,8.36
0.872,894,8.31
0.888,893,8.74
0.905,890,8.53
0.921,889,8.59
0.939,885,8.59
0.955,879,8.64
0.971,881,9.20
0.988,876,9.25
1.005,874,8.84
1.021,872,8.89
1.038,874,9.04
1.054,876,9.15
1.072,882,9.13
1.088,883,9.25
1.104,884,9.45
1.121,883,9.55
1.138,883,9.95
1.155,880,9.66
1.171,884,9.86
1.187,884,10.32
1.206,885,10.06
1.223,882,10.17
1.241,884,10.32
1.258,883,10.25
1.276,882,10.71
1.294,880,10.83
1.311,879,10.88
1.330,880,10.78
1.347,881,10.76
1.364,881,10.83
1.382,882,10.37
1.400,882,10.20
1.418,883,10.63
1.435,884,10.71
1.453,883,10.63
1.471,883,10.22
1.488,883,10.22
1.506,882,10.32
1.523,884,10.22
1.542,883,10.63
1.559,882,10.32
1.576,881,10.32
1.595,882,10.66
1.612,881,10.73
1.630,881,10.88
1.647,877,10.88
1.666,879,10.42
1.683,879,10.47
1.700,876,10.63
1.718,875,10.57
1.736,877,10.63
1.754,875,10.68
1.771,876,11.29
1.788,874,10.88
1.807,875,10.98
1.824,873,11.12
1.842,870,11.75
1.860,868,11.34
1.878,867,11.37
1.895,866,11.58
1.912,864,12.05
1.931,861,11.80
1.948,859,12.36
1.966,857,12.26
1.983,853,12.31
2.001,852,12.90
2.019,845,13.11
2.036,850,13.38
2.054,848,13.31
2.072,847,12.97
2.089,845,13.06
2.107,844,13.12
2.124,845,13.21
2.143,842,13.72
2.160,841,13.89
2.178,842,13.43
2.196,841,13.48
2.213,841,13.52
2.231,839,13.67
2.248,838,13.63
2.267,836,14.14
2.284,837,13.84
2.301,837,14.03
2.319,836,13.99
2.337,831,14.48
2.355,830,14.55
2.372,830,14.20
2.390,831,14.30
2.408,830,14.35
2.425,828,14.89
2.443,828,14.86
2.461,828,14.86
2.479,826,14.86
2.496,826,14.96
2.513,827,14.84
2.532,826,14.84
2.549,828,14.84
2.567,827,14.86
2.584,828,14.86
2.603,826,14.84
2.620,827,14.84
2.637,825,15.32
2.655,827,15.32
2.673,827,14.89
2.691,827,15.05
2.708,825,14.96
2.726,824,14.99
2.744,823,15.05
2.761,825,15.15
2.779,820,15.11
2.797,820,15.15
2.814,818,15.16
2.832,821,15.30
2.849,819,15.45
2.868,816,15.22
2.885,819,15.83
2.903,815,15.61
2.920,814,16.17
2.938,811,16.27
2.956,812,15.98
2.973,812,16.06
2.992,811,16.63
3.009,807,16.39
3.026,805,16.52
3.044,804,17.09
3.062,804,16.80
3.080,804,16.88
3.097,803,17.34
3.115,801,17.44
3.133,801,17.49
3.150,799,17.12
3.168,799,17.19
3.185,799,17.19
3.204,797,17.70
3.221,794,17.63
3.238,793,17.43
3.256,790,17.65
3.274,754,18.24
3.292,765,18.00
3.309,772,18.11
3.328,780,18.19
3.345,785,18.72
3.362,787,18.39
3.380,789,18.46
3.398,787,18.56
3.416,786,18.67
3.433,784,18.77
3.450,777,18.92
3.469,771,19.07
3.486,769,19.18
3.504,773,19.89
3.521,770,20.21
3.539,767,20.09
3.557,761,20.79
3.574,759,20.69
3.593,755,21.37
3.610,752,21.42
3.628,751,21.30
3.645,748,21.42
3.663,746,21.57
3.681,747,21.62
3.698,742,21.88
3.716,739,22.49
3.734,737,22.24
3.751,737,22.27
3.769,735,22.47
3.786,733,22.59
3.805,733,22.58
3.822,731,22.80
3.840,731,22.88
3.858,731,22.95
3.875,728,22.88
3.893,730,22.98
3.910,730,23.05
3.929,729,23.09
3.946,728,23.04
3.963,728,23.15
3.981,724,23.19
3.999,720,23.14
4.017,717,23.17
4.034,717,23.29
4.051,718,23.34
4.070,717,23.29
4.087,717,23.29
4.105,717,23.39
4.123,717,23.41
4.141,719,23.32
4.158,716,23.46
4.175,717,23.44
4.194,718,23.49
4.211,715,23.39
4.229,717,23.56
4.246,714,23.58
4.264,716,23.60
4.282,713,23.65
4.299,713,23.82
4.317,711,23.90
4.335,710,23.80
4.353,709,23.85
4.370,708,24.07
4.387,708,24.21
4.406,706,24.26
4.423,703,24.48
4.441,700,24.56
4.459,700,24.62
4.476,701,24.56
4.494,701,24.72
4.511,699,24.79
4.530,697,24.79
4.547,697,24.87
4.564,692,25.13
4.582,686,25.74
4.600,690,25.48
4.618,689,25.69
4.635,685,25.64
4.653,683,26.06
4.671,680,26.18
4.688,679,26.44
4.706,678,26.95
4.724,676,26.59
4.742,668,27.08
4.759,665,27.35
4.776,664,27.15
4.795,663,27.20
4.812,662,27.34
4.830,662,27.51
4.847,660,27.44
4.866,660,27.46
4.883,650,27.49
4.900,638,27.61
4.918,636,27.97
4.936,654,27.56
4.954,649,27.71
4.971,650,28.15
4.989,647,28.10
5.007,650,28.17
5.024,653,27.91
5.042,652,27.97
5.060,652,27.95
5.078,651,28.07
5.095,648,28.66
5.112,648,28.66
5.131,654,28.68
5.148,658,28.66
5.166,656,28.37
5.183,658,28.73
5.201,659,28.32
5.219,651,28.36
5.236,649,28.53
5.255,650,28.56
5.272,649,28.66
5.289,647,29.27
5.307,647,29.22
5.325,648,29.38
5.343,647,29.48
5.360,645,29.22
5.378,645,29.65
5.396,643,29.36
5.413,642,29.53
5.431,638,29.75
5.448,638,29.73
5.467,638,29.84
5.484,636,29.95
5.501,634,30.14
5.519,629,30.50
5.537,622,30.57
5.555,619,30.70
5.572,614,30.65
5.591,614,30.65
5.608,615,30.70
5.625,614,30.80
5.643,614,30.72
5.661,616,30.72
5.679,616,30.75
5.696,615,30.82
5.713,617,30.72
5.732,617,30.72
5.749,620,30.72
5.767,619,30.72
5.784,620,30.28
5.803,620,30.28
5.820,622,30.77
5.837,622,30.29
5.856,621,30.29
5.873,620,30.75
5.891,621,30.45
5.908,621,30.38
5.926,623,30.45
5.944,623,30.57
5.961,622,30.75
5.979,621,30.80
5.997,620,30.96
6.014,618,31.11
6.032,617,31.72
6.049,614,31.94
6.068,610,32.08
6.085,608,32.39
6.103,607,32.06
6.121,606,32.64
6.138,602,32.78
6.156,593,32.62
6.173,594,33.08
6.192,591,32.88
6.209,596,33.05
6.226,595,33.18
6.244,555,33.34
6.262,564,33.92
6.280,573,34.05
6.297,573,34.20
6.315,573,34.37
6.333,574,34.10
6.350,579,34.66
6.368,581,34.90
6.386,579,34.68
6.404,580,34.82
6.421,580,34.94
6.438,585,35.14
6.457,583,35.33
6.474,582,35.90
6.492,580,36.06
6.509,578,36.67
6.528,577,36.45
6.545,576,36.96
6.562,575,36.81
6.580,573,37.38
6.598,571,37.06
6.616,568,37.47
6.633,569,38.08
6.650,566,37.74
6.669,566,37.77
6.686,566,38.25
6.704,563,37.93
6.722,563,37.60
6.739,562,37.96
6.757,562,37.83
6.774,561,37.91
6.793,561,37.91
6.810,560,37.86
6.828,560,37.98
6.845,560,37.98
6.863,561,38.39
6.881,561,37.91
6.898,561,37.98
6.916,559,38.44
6.934,559,38.03
6.951,560,38.42
6.969,562,38.01
6.987,561,38.01
7.005,560,38.32
7.022,560,38.01
7.040,562,37.98
7.058,560,38.01
7.075,559,38.37
7.093,559,38.52
7.110,559,38.10
7.129,559,38.17
7.146,559,38.52
7.163,559,38.68
7.181,558,38.32
7.199,545,38.37
7.217,532,38.47
7.234,531,38.59
7.252,537,38.71
7.270,536,39.13
7.287,536,38.96
7.305,532,38.78
7.323,531,39.29
7.341,531,39.64
7.358,532,39.41
7.375,529,39.44
7.394,536,39.95
7.411,534,39.51
7.429,537,39.76
7.446,535,39.98
7.464,533,39.64
7.482,531,39.87
7.499,531,40.15
7.518,529,40.31
7.535,527,40.41
7.553,524,40.72
7.570,523,40.92
7.588,520,41.12
7.606,511,41.28
7.623,505,41.58
7.641,486,41.79
7.659,461,41.55
7.676,480,42.11
7.694,469,42.35
7.711,471,42.48
7.730,472,42.93
7.747,471,42.65
7.764,470,43.27
7.782,470,42.82
7.800,466,42.89
7.818,463,43.37
7.835,467,43.04
7.854,469,42.98
7.871,470,43.01
7.888,471,43.15
7.906,473,43.18
7.924,476,43.15
7.942,479,43.23
7.959,480,43.38
7.976,488,43.78
7.995,488,43.78
8.012,488,43.47
8.030,486,43.71
8.047,485,43.74
8.066,483,43.91
8.083,481,44.68
8.100,478,44.51
8.119,479,44.64
8.136,479,44.90
8.154,475,45.63
8.171,473,45.75
8.189,470,46.38
8.207,467,46.21
8.224,466,46.53
8.242,465,46.70
8.260,462,47.01
8.278,459,46.85
8.295,457,47.57
8.312,457,47.62
8.331,455,48.21
8.348,454,48.08
8.366,454,47.72
8.384,452,48.18
8.401,452,48.23
8.419,453,48.38
8.436,451,48.28
8.455,451,47.89
8.472,450,48.30
8.489,450,48.42
8.507,449,48.74
8.525,451,48.33
8.543,452,48.33
8.560,452,48.31
8.578,451,48.38
8.596,452,48.37
8.613,453,49.25
8.631,453,48.84
8.649,451,48.91
8.667,451,48.60
8.684,450,48.76
8.701,451,49.16
8.720,448,48.86
8.737,448,48.62
8.755,448,49.56
8.772,445,50.07
8.791,443,49.76
8.808,443,49.93
8.825,440,49.69
8.843,439,49.83
8.861,437,49.98
8.879,436,50.13
8.896,436,50.68
8.913,434,50.41
8.932,432,50.68
8.949,430,51.34
8.967,430,51.15
8.985,427,51.32
9.003,427,51.83
9.020,425,51.63
9.037,422,52.68
9.056,421,52.36
9.073,420,52.14
9.091,420,52.70
9.108,420,53.16
9.126,419,52.39
9.144,420,52.33
9.161,420,52.45
9.179,418,52.50
9.197,419,52.96
9.214,419,52.51
9.232,421,52.50
9.250,422,52.92
9.268,423,52.90
9.285,422,52.46
9.303,424,52.48
9.321,423,52.53
9.338,422,52.96
9.356,421,53.01
9.373,420,53.06
9.392,422,53.98
9.409,420,53.52
9.426,420,54.06
9.444,419,54.13
9.462,420,53.79
9.480,420,55.05
9.497,419,54.66
9.516,419,54.23
9.533,420,54.67
9.550,418,53.86
9.568,419,53.86
9.586,419,55.11
9.604,419,53.82
9.621,419,53.84
9.638,419,53.82
9.657,419,54.66
9.674,419,53.72
9.692,419,53.82
9.709,419,53.82
9.728,419,53.81
9.745,419,53.72
9.762,419,53.79
9.781,419,54.21
9.798,417,54.23
9.816,419,54.66
9.833,420,53.84
9.851,417,54.26
9.869,417,53.45
9.886,418,53.48
9.904,418,53.53
9.922,418,54.40
9.939,417,53.53
9.957,417,53.67
9.974,416,53.74
9.993,415,54.20
10.010,416,54.15
10.029,414,54.30
10.048,415,55.61
10.066,416,55.98
10.085,415,54.89
10.103,414,56.61
10.123,413,55.44
10.141,413,56.20
10.160,412,55.56
10.178,412,55.27
10.198,410,54.25
10.216,409,54.45
10.234,409,54.60
10.254,407,55.15
10.272,406,56.41
10.291,395,56.20
10.309,385,57.21
10.329,382,56.10
10.347,368,56.13
10.365,376,55.91
10.385,375,57.34
10.403,376,56.58
10.422,373,57.65
10.440,370,57.46
10.460,369,56.76
10.478,369,57.48
10.497,368,57.68
10.516,367,58.26
10.534,366,57.97
10.553,366,58.26
10.571,365,58.09
10.591,364,58.21
10.609,363,58.06
10.628,360,58.43
10.647,358,58.67
10.665,358,58.82
10.684,358,60.01
10.702,360,59.74
10.722,362,59.74
10.740,361,59.86
10.759,363,60.04
10.777,362,60.10
10.797,361,60.23
10.815,359,60.11
10.833,358,60.23
10.853,358,60.23
10.871,358,60.30
10.890,358,60.81
10.908,358,60.69
10.928,357,60.49
10.946,356,60.67
10.964,361,61.00
10.984,361,60.95
11.002,360,60.98
11.021,362,61.52
11.039,362,61.08
11.059,361,61.15
11.077,360,62.17
11.096,340,62.27
11.115,341,61.42
11.133,340,61.49
11.152,338,61.69
11.170,337,61.47
11.190,344,62.02
11.208,344,61.81
11.227,344,62.10
11.246,341,62.61
11.265,333,62.46
11.283,307,62.88
11.301,314,63.07
11.321,315,63.39
11.339,312,64.12
11.358,314,64.14
11.376,316,65.11
11.396,315,64.91
11.414,313,64.91
11.432,313,65.04
11.452,312,65.35
11.470,312,65.96
11.489,312,65.70
11.507,312,66.66
11.527,312,66.28
11.545,317,66.84
11.564,317,66.33
11.583,317,66.33
11.601,317,66.37
11.620,316,67.64
11.638,317,67.68
11.658,316,66.86
11.676,316,67.01
11.695,316,67.35
11.714,316,67.44
11.732,316,67.93
11.751,315,66.73
11.769,313,66.79
11.789,314,66.88
11.807,313,66.98
11.826,313,66.69
11.845,311,67.63
11.864,312,67.29
11.882,311,67.80
11.900,313,67.49
11.920,315,67.18
11.938,315,68.10
11.957,316,67.73
11.975,316,67.41
11.995,314,67.86
12.013,316,67.95
12.032,315,68.85
12.051,315,68.05
12.069,314,68.09
12.088,314,68.94
12.106,315,68.12
12.126,315,68.51
12.144,314,68.15
12.163,314,68.56
12.182,313,69.43
12.200,313,69.87
12.219,313,68.66
12.237,313,68.73
12.257,314,70.06
12.275,312,69.75
12.294,311,68.65
12.313,310,68.87
12.332,309,69.11
12.350,311,69.27
12.368,309,70.69
12.388,310,71.23
12.406,308,70.82
12.425,308,75.96
12.444,308,77.13
12.463,307,77.15
12.481,306,75.17
12.499,307,74.77
12.519,306,75.51
12.537,305,72.64
12.556,305,73.17
12.574,306,74.46
12.594,306,176.38
12.613,306,71.83
12.632,305,71.93
12.651,303,72.03
12.669,304,134.22
12.689,306,176.07
12.709,304,77.54
12.728,303,76.41
12.746,302,72.11
12.765,302,72.27
12.784,301,72.39
