time,intensity,distance
0.001,952,3.43
0.002,953,4.34
0.007,954,4.34
0.023,954,4.28
0.039,951,4.39
0.056,952,4.44
0.073,952,4.03
0.090,952,3.98
0.106,951,4.08
0.122,952,4.13
0.140,951,4.13
0.156,952,4.08
0.173,950,4.59
0.189,949,4.64
0.206,950,4.64
0.223,951,4.59
0.239,950,5.15
0.256,947,4.74
0.273,947,4.79
0.289,947,4.74
0.306,946,4.49
0.322,945,4.90
0.339,945,4.54
0.356,946,4.85
0.372,946,5.00
0.389,946,5.05
0.406,945,5.15
0.422,943,5.10
0.439,942,5.30
0.455,946,4.95
0.473,947,5.00
0.489,946,5.36
0.505,944,5.51
0.522,945,5.51
0.539,945,5.51
0.556,943,5.46
0.572,944,5.61
0.588,943,5.66
0.606,943,5.56
0.622,942,5.20
0.638,941,5.36
0.655,941,5.81
0.672,944,5.41
0.689,941,5.76
0.705,943,5.87
0.721,941,5.92
0.739,941,6.26
0.755,939,6.27
0.772,940,6.02
0.788,939,6.07
0.805,938,6.02
0.822,940,6.07
0.838,939,6.17
0.855,937,6.27
0.872,935,6.22
0.888,935,6.38
0.905,936,6.58
0.921,932,6.68
0.939,930,6.68
0.955,930,6.78
0.971,932,6.99
0.988,929,6.99
1.005,928,6.51
1.021,930,6.92
1.038,927,7.09
1.054,927,7.14
1.072,926,7.09
1.088,925,7.60
1.104,926,7.34
1.121,923,7.40
1.138,923,7.34
1.155,923,7.38
1.171,923,7.50
1.187,924,7.55
1.205,923,7.45
1.221,921,7.50
1.238,922,8.06
1.254,919,8.11
1.271,919,8.06
1.288,918,8.16
1.304,918,7.91
1.320,917,8.36
1.338,917,8.31
1.354,917,8.36
1.371,915,8.45
1.387,915,8.52
1.404,914,8.38
1.421,913,8.21
1.437,911,8.69
1.454,912,8.79
1.471,910,8.42
1.487,910,8.87
1.504,908,8.64
1.520,907,9.15
1.538,908,9.08
1.554,908,9.15
1.570,906,9.30
1.587,906,8.94
1.604,906,8.89
1.620,902,8.94
1.637,903,9.55
1.653,901,9.59
1.671,901,9.61
1.687,901,9.28
1.703,900,9.44
1.720,899,9.86
1.737,900,9.95
1.754,898,10.00
1.771,896,9.76
1.787,896,9.71
1.805,894,9.74
1.821,895,9.81
1.838,894,9.96
1.854,892,10.32
1.872,894,10.37
1.890,892,10.46
1.907,891,10.20
1.925,891,10.15
1.943,890,10.63
1.960,892,10.78
1.978,890,10.83
1.996,889,10.78
2.014,890,10.81
2.031,889,10.97
2.049,887,10.88
2.067,887,10.52
2.084,887,10.57
2.102,886,10.71
2.119,884,11.08
2.138,884,11.12
2.155,883,11.17
2.172,883,11.34
2.190,882,11.29
2.208,881,10.93
2.226,880,11.08
2.243,880,11.54
2.262,880,11.49
2.279,878,11.59
2.296,878,11.75
2.314,877,11.70
2.332,875,11.39
2.350,875,11.42
2.367,874,12.04
2.384,875,12.41
2.403,872,12.10
2.420,875,12.21
2.438,873,12.36
2.455,871,12.31
2.473,872,12.39
2.491,869,12.56
2.508,868,12.55
2.527,868,12.21
2.544,867,12.24
2.562,866,12.85
2.579,865,13.26
2.597,863,12.92
2.615,863,12.60
2.632,862,13.16
2.650,862,13.18
2.668,859,13.28
2.685,859,13.74
2.703,859,13.53
2.720,858,13.06
2.739,859,13.57
2.756,859,13.62
2.774,856,13.72
2.792,855,13.79
2.809,853,13.46
2.827,854,14.03
2.844,853,14.04
2.863,852,14.14
2.880,851,14.20
2.897,850,14.35
2.915,850,14.35
2.933,851,14.40
2.951,851,14.43
2.968,849,14.48
2.985,848,14.54
3.004,848,14.60
3.021,849,14.64
