time,potValue,range
0,0,230
200,0,230
401,0,230
602,0,230
802,0,230
1003,0,230
1204,0,230
1404,0,230
1605,0,230
1806,0,230
2007,0,230
2207,0,230
2408,0,230
2609,0,230
2809,0,230
3010,0,230
3211,0,230
3411,0,230
3612,0,230
3813,0,230
4014,0,230
4214,0,230
4415,0,230
4616,0,230
4816,0,230
5017,0,230
5218,0,230
5419,0,230
5619,0,230
5820,0,230
6021,0,230
6221,0,230
6422,0,230
6623,0,230
6823,0,230
7024,0,230
7225,0,230
7426,0,230
7626,0,230
7827,12,230
8028,140,230
8228,171,230
8429,171,230
8630,171,230
8830,172,230
9031,277,230
9232,381,229
9433,451,230
9633,472,230
9834,502,231
10035,525,230
10236,526,231
10437,525,230
10638,526,231
10839,525,230
11039,526,231
11240,525,232
11441,526,230
11641,526,231
11843,525,231
12044,526,231
12244,525,231
12445,526,231
12646,525,231
12847,526,232
13047,525,231
13248,525,230
13450,525,232
13650,525,231
13851,526,232
14052,525,231
14253,526,232
14453,525,232
14654,525,232
14855,525,232
15056,525,232
15257,525,233
15458,525,232
15659,526,233
15859,525,232
16060,525,233
16261,525,233
16461,525,233
16663,525,233
16864,525,233
17064,525,235
17265,525,233
17466,526,234
17667,525,233
17867,525,234
18069,525,233
18270,525,234
18470,525,233
18671,525,234
18872,525,234
19073,525,232
19273,526,234
19474,525,234
19676,525,234
19876,525,234
20077,525,234
20278,525,234
20478,525,234
20679,525,234
20880,525,234
21081,525,235
21282,525,234
21483,525,235
21684,525,234
21884,525,235
22085,525,234
22286,525,235
22487,525,234
22687,525,235
22889,525,234
23090,525,234
23290,525,235
23491,525,234
23692,525,235
23892,525,234
24093,525,235
24295,525,235
24496,525,235
24696,525,235
24897,525,235
25098,525,235
25298,525,235
25499,525,235
25700,525,235
25902,525,235
26102,525,235
26303,525,236
26504,525,235
26704,525,236
26905,525,237
27106,525,235
27307,525,236
27508,525,235
27709,525,236
27910,525,236
28110,525,236
28311,525,236
28512,525,236
28712,525,236
28913,525,235
29115,525,236
29316,525,236
29516,525,236
29717,525,236
29918,525,237
30118,525,236
30319,525,237
30521,525,236
30722,525,237
30922,525,238
31123,525,236
31324,525,237
31524,524,236
31725,525,237
31926,525,237
32128,525,237
32328,525,236
32529,525,237
32730,525,237
32930,525,236
33131,525,237
33332,525,236
33532,525,237
33734,524,237
33935,525,237
34136,524,237
34336,525,237
34537,525,237
34738,525,237
34938,524,237
35139,524,236
35341,525,237
35542,524,237
35742,525,237
35943,524,237
36144,525,237
36344,524,237
36545,525,237
36747,524,238
36947,525,237
37148,525,237
37349,524,237
37550,525,238
37750,524,237
37951,525,237
38152,524,237
38353,525,237
38554,524,237
38755,525,236
38956,525,238
39156,525,237
39357,525,238
39558,524,237
39758,525,237
39960,524,237
40161,525,237
40361,524,237
40562,525,237
40763,524,238
40964,524,237
41164,525,237
41365,525,237
41567,525,237
41767,524,237
41968,525,237
42169,524,237
42370,525,237
42570,524,237
42771,525,236
42973,525,237
43173,524,237
43374,525,238
43575,524,237
43776,525,237
43976,524,237
44177,525,237
44378,524,237
44579,525,237
44780,524,237
44981,524,236
45181,525,237
45382,524,236
45583,525,237
45784,524,237
45984,525,237
46186,524,237
46387,525,237
46587,524,239
46788,525,237
46989,525,237
47190,524,237
47390,525,237
47591,524,237
47793,525,237
47993,524,237
48194,525,237
48395,524,237
48595,525,237
48796,525,237
48997,524,237
49199,525,237
49399,524,237
49600,524,237
49801,524,237
50001,525,238
50202,524,237
50403,525,237
50604,524,239
50805,525,237
51006,525,238
51207,524,237
51407,524,238
51608,524,237
51809,525,238
52009,524,237
52210,525,238
52412,524,237
