time,frequency
1,185
2,184
3,184
4,184
5,186
6,187
7,189
8,189
9,188
10,189
11,201
12,221
13,244
14,264
15,278
16,287
17,292
18,295
19,298
20,301
21,304
22,306
23,310
24,312
25,313
26,312
27,312
28,313
29,314
30,316
31,317
32,319
33,319
34,318
35,317
36,318
37,318
38,319
39,323
40,348
41,372
42,389
43,400
44,407
45,412
46,415
47,418
48,421
49,424
50,425
51,425
52,425
53,426
54,427
55,429
56,430
57,431
58,432
59,431
60,431
61,431
62,432
63,432
64,433
65,435
66,435
67,435
68,434
69,444
70,453
71,460
72,465
73,467
74,468
75,469
76,468
77,468
78,468
79,469
80,470
81,471
82,472
83,472
84,472
85,471
86,471
87,471
88,472
89,473
90,473
91,474
92,473
93,473
94,472
95,472
96,473
97,473
98,474
99,475
100,474
101,474
102,473
103,473
104,473
105,474
106,475
107,475
108,476
109,475
110,474
111,474
112,474
113,474
114,475
115,476
116,476
117,475
118,474
119,474
120,474
121,475
122,475
123,476
124,477
125,476
126,475
127,475
128,475
129,475
130,475
131,476
132,477
133,477
134,476
135,475
136,475
137,475
138,476
139,476
140,477
141,477
142,476
143,476
144,475
145,475
146,476
147,476
148,477
149,478
150,477
151,476
152,476
153,475
154,476
155,476
156,475
157,469
158,463
159,457
160,453
161,450
162,449
163,448
164,447
165,447
166,447
167,446
168,445
169,444
170,443
171,443
172,444
173,445
174,445
175,444
176,443
177,442
178,442
179,442
180,442
181,443
182,444
183,444
184,443
185,440
186,427
187,410
188,395
189,382
190,373
191,366
192,360
193,354
194,351
195,348
196,346
197,345
198,345
199,344
200,343
201,341
202,339
203,337
204,337
205,337
206,337
207,338
208,338
209,336
210,334
211,334
212,334
213,334
214,334
215,322
216,303
217,283
218,264
219,249
220,240
221,233
222,228
223,225
224,223
225,219
226,215
227,212
228,209
229,208
230,207
231,207
232,208
233,207
234,205
235,203
236,201
237,200
238,201
239,201
240,202
241,203
242,201
243,199
244,194
245,188
246,184
247,180
248,178
249,176
250,173
251,170
252,166
253,164
254,163
255,163
256,164
257,164
258,164
259,162
260,159
261,158
262,157
263,158
264,158
265,160
266,160
267,159
268,157
269,155
270,154
271,155
272,156
273,157
274,158
275,157
276,156
277,154
278,153
279,153
280,154
281,155
282,156
283,157
284,155
285,153
286,152
287,152
288,152
289,153
290,155
291,156
292,155
293,153
294,151
295,151
296,151
297,152
298,154
299,155
300,155
301,153
302,151
303,150
304,150
305,151
306,153
307,154
308,154
309,153
310,151
311,150
312,150
313,150
314,151
315,153
316,154
317,153
318,151
319,150
320,149
321,150
322,151
323,152
324,153
325,153
326,152
327,150
328,149
329,149
330,150
331,152
332,155
333,158
334,161
335,165
336,168
337,170
338,173
339,176
340,179
341,181
342,181
343,181
344,180
345,180
346,181
347,183
348,185
349,186
350,187
351,185
352,184
353,184
354,184
355,185
356,187
357,188
358,189
359,188
360,187
361,194
362,212
363,234
364,256
365,273
366,284
367,290
368,294
369,297
370,301
371,303
372,306
373,309
374,312
375,313
376,313
377,312
378,313
379,314
380,316
381,317
382,319
383,320
384,319
385,318
386,318
387,319
388,319
389,320
390,322
391,323
392,322
393,321
394,332
395,357
396,379
397,395
398,406
399,413
400,417
401,419
402,420
403,422
404,424
405,425
406,427
407,429
408,430
409,430
410,430
411,430
412,431
413,432
414,432
415,434
416,435
417,435
418,434
419,440
420,450
421,457
422,463
423,467
424,468
425,469
426,469
427,468
428,468
429,469
430,470
431,471
432,472
433,473
434,472
435,471
436,471
437,472
438,472
439,473
440,474
441,474
442,474
443,473
444,473
445,473
446,473
447,474
448,475
449,475
450,475
451,475
452,474
453,474
454,474
455,474
456,475
457,476
458,476
459,476
460,475
461,474
462,475
463,475
464,475
465,476
466,477
467,477
468,476
469,475
470,475
471,475
472,476
473,476
474,477
475,477
476,477
477,476
478,476
479,476
480,476
481,477
482,477
483,478
484,477
485,476
486,476
487,476
488,476
489,477
490,477
491,478
492,478
493,477
494,476
495,476
496,476
497,477
498,477
499,478
500,478
501,478
502,477
503,477
504,476
505,477
506,477
507,473
508,466
509,460
510,455
511,452
512,450
513,448
514,448
515,448
516,448
517,447
518,445
519,444
520,444
521,444
522,444
523,444
524,445
525,445
526,444
527,442
528,442
529,442
530,443
531,443
532,444
533,444
534,443
535,442
536,434
537,417
538,401
539,387
540,376
541,369
542,363
543,357
544,352
545,349
546,347
547,345
548,344
549,344
550,343
551,341
552,338
553,337
554,337
555,337
556,337
557,337
558,338
559,337
560,335
561,333
562,333
563,333
564,334
565,328
566,311
567,291
568,272
569,255
570,243
571,235
572,230
573,226
574,224
575,221
576,217
577,213
578,210
579,208
580,208
581,208
582,208
583,208
584,206
585,204
586,201
587,200
588,200
589,201
590,202
591,202
592,202
593,200
594,197
595,191
596,185
597,181
598,178
599,176
600,174
601,171
602,167
603,164
604,163
605,163
606,163
607,164
608,164
609,162
610,160
611,158
612,157
613,157
614,158
615,159
616,160
617,159
618,157
619,155
620,154
621,154
622,155
623,156
624,157
625,157
626,156
627,154
628,153
629,153
630,153
631,154
632,156
633,156
634,155
635,154
636,152
637,151
638,151
639,153
640,154
641,156
642,155
643,153
644,152
645,151
646,151
647,151
648,153
649,154
650,155
651,154
652,151
653,150
654,150
655,151
656,152
657,154
658,154
659,153
660,152
661,150
662,149
663,150
664,151
665,152
666,153
667,154
668,152
669,150
670,149
671,149
672,150
673,151
674,153
675,153
676,152
677,150
678,149
679,149
680,149
681,151
682,152
683,153
684,152
685,151
686,150
687,151
688,155
689,161
690,167
691,172
692,175
693,175
694,175
695,176
696,177
697,179
698,181
699,183
700,184
701,184
702,183
703,182
704,183
705,183
706,185
707,186
708,188
709,187
710,186
711,185
712,184
713,185
714,187
715,190
716,204
717,224
718,245
719,263
720,276
721,284
722,291
723,297
724,302
725,305
726,307
727,307
728,309
729,310
730,312
731,314
732,316
733,318
734,318
735,317
736,317
737,317
738,318
739,319
740,320
741,322
742,322
743,321
744,323
745,346
746,370
747,389
748,402
749,411
750,415
751,418
752,420
753,422
754,423
755,425
756,427
757,429
758,430
759,431
760,430
761,430
762,431
763,432
764,433
765,434
766,435
767,436
768,435
769,434
770,434
771,435
772,435
773,436
774,437
775,438
776,437
777,436
778,444
779,454
780,461
781,466
782,469
783,470
784,471
785,470
786,470
787,471
788,471
789,472
790,473
791,474
792,474
793,473
794,473
795,473
796,473
797,473
798,474
799,475
800,476
801,475
802,474
803,474
804,474
805,475
806,475
807,476
808,477
809,476
810,475
811,475
812,475
813,475
814,476
815,476
816,477
817,477
818,477
819,476
820,475
821,476
822,476
823,477
824,477
825,478
826,477
827,476
828,476
829,476
830,477
831,477
832,478
833,478
834,478
835,477
836,476
837,476
838,476
839,477
840,478
841,478
842,478
843,478
844,476
845,477
846,477
847,477
848,477
849,478
850,479
851,478
852,477
853,477
854,477
855,477
856,478
857,478
858,479
859,478
860,477
861,477
862,477
863,477
864,477
865,477
866,472
867,465
868,459
869,454
870,451
871,450
872,449
873,448
874,448
875,448
876,447
877,445
878,444
879,444
880,444
881,444
882,445
883,445
884,445
885,444
886,443
887,443
888,442
889,443
890,443
891,444
892,444
893,443
894,442
895,430
896,414
897,399
898,385
899,375
900,369
901,363
902,357
903,352
904,349
905,348
906,347
907,346
908,345
909,344
910,342
911,340
912,339
913,338
914,338
915,338
916,339
917,339
918,338
919,336
920,335
921,335
922,335
923,335
924,327
925,308
926,289
927,269
928,253
929,243
930,236
931,231
932,227
933,225
934,222
935,218
936,214
937,211
938,210
939,209
940,209
941,210
942,209
943,207
944,204
945,202
946,202
947,202
948,203
949,203
950,204
951,202
952,201
953,197
954,191
955,186
956,181
957,179
958,176
959,174
960,171
961,167
962,164
963,163
964,163
965,164
966,164
967,164
968,162
969,160
970,158
971,157
972,157
973,158
974,159
975,160
976,159
977,157
978,155
979,154
980,154
981,155
982,156
983,158
984,157
985,156
986,154
987,153
988,153
989,153
990,155
991,156
992,156
993,155
994,153
995,152
996,151
997,152
998,153
999,155
1000,156
1001,155
1002,153
1003,151
1004,151
1005,151
1006,152
1007,153
1008,155
1009,155
1010,153
1011,151
1012,150
1013,150
1014,151
1015,152
1016,154
1017,154
1018,153
1019,152
1020,150
1021,149
1022,150
1023,151
1024,153
1025,154
1026,153
1027,152
1028,150
1029,149
1030,150
1031,151
1032,152
1033,153
1034,153
1035,152
1036,150
1037,149
1038,149
1039,150
1040,151
1041,154
1042,157
1043,160
1044,163
1045,167
1046,170
1047,173
1048,176
1049,179
1050,180
1051,181
1052,181
1053,180
1054,180
1055,181
1056,183
1057,185
1058,186
1059,187
1060,186
1061,184
1062,184
1063,185
1064,185
1065,187
1066,189
1067,189
1068,188
1069,187
1070,192
1071,208
1072,231
1073,254
1074,272
1075,284
1076,292
1077,296
1078,299
1079,302
1080,306
1081,308
1082,311
1083,314
1084,315
1085,315
1086,315
1087,316
1088,317
1089,318
1090,319
1091,321
1092,322
1093,322
1094,321
1095,320
1096,321
1097,322
1098,323
1099,324
1100,325
1101,325
1102,324
1103,323
1104,323
1105,324
1106,324
1107,329
1108,354
1109,376
1110,393
1111,404
1112,411
1113,415
1114,419
1115,421
1116,425
1117,427
1118,427
1119,427
1120,428
1121,429
1122,430
1123,431
1124,432
1125,434
1126,434
1127,433
1128,436
1129,447
1130,455
1131,462
1132,466
1133,468
1134,468
1135,468
1136,468
1137,469
1138,469
1139,470
1140,470
1141,472
1142,472
1143,472
1144,472
1145,471
1146,472
1147,472
1148,473
1149,474
1150,474
1151,474
1152,474
1153,473
1154,473
1155,473
1156,474
1157,475
1158,476
1159,475
1160,475
1161,474
1162,474
1163,474
1164,475
1165,475
1166,476
1167,477
1168,476
1169,475
1170,474
1171,475
1172,475
1173,476
1174,476
1175,477
1176,477
1177,476
1178,475
1179,475
1180,475
1181,476
1182,476
1183,477
1184,477
1185,477
1186,476
1187,475
1188,475
1189,476
1190,477
1191,477
1192,478
1193,477
1194,476
1195,476
1196,476
1197,476
1198,476
1199,477
1200,478
1201,477
1202,477
1203,476
1204,476
1205,476
1206,476
1207,477
1208,478
1209,478
1210,477
1211,476
1212,476
1213,476
1214,477
1215,477
1216,474
1217,468
1218,461
1219,456
1220,452
1221,451
1222,449
1223,449
1224,448
1225,448
1226,448
1227,446
1228,445
1229,445
1230,444
1231,445
1232,445
1233,446
1234,446
1235,445
1236,443
1237,443
1238,443
1239,444
1240,444
1241,445
1242,445
1243,444
1244,443
1245,437
1246,422
1247,405
1248,391
1249,379
1250,371
1251,365
1252,359
1253,354
1254,351
1255,348
1256,347
1257,346
1258,345
1259,345
1260,343
1261,340
1262,339
1263,338
1264,338
1265,338
1266,339
1267,339
1268,338
1269,336
1270,335
1271,335
1272,335
1273,335
1274,332
1275,316
1276,297
1277,277
1278,259
1279,247
1280,238
1281,233
1282,228
1283,226
1284,223
1285,219
1286,215
1287,212
1288,210
1289,209
1290,209
1291,209
1292,209
1293,208
1294,205
1295,203
1296,202
1297,202
1298,202
1299,203
1300,204
1301,203
1302,202
1303,199
1304,193
1305,188
1306,183
1307,180
1308,178
1309,175
1310,172
1311,168
1312,165
1313,164
1314,163
1315,163
1316,164
1317,164
1318,163
1319,160
1320,159
1321,157
1322,157
1323,158
1324,159
1325,160
1326,159
1327,158
1328,156
1329,155
1330,154
1331,155
1332,156
1333,157
1334,158
1335,156
1336,154
1337,153
1338,153
1339,153
1340,154
1341,156
1342,156
1343,156
1344,154
1345,152
1346,152
1347,152
1348,153
1349,154
1350,156
1351,155
1352,154
1353,152
1354,151
1355,151
1356,152
1357,153
1358,155
1359,155
1360,154
1361,152
1362,150
1363,150
1364,151
1365,152
1366,153
1367,154
1368,154
1369,152
1370,150
1371,150
1372,150
1373,151
1374,153
1375,154
1376,154
1377,152
1378,150
1379,149
1380,149
1381,150
1382,151
1383,153
1384,153
1385,152
1386,151
1387,149
1388,149
1389,150
1390,151
1391,152
1392,153
1393,153
1394,151
1395,150
1396,151
1397,154
1398,160
1399,167
1400,173
1401,176
1402,177
1403,176
1404,177
1405,178
1406,180
1407,182
1408,184
1409,186
1410,185
1411,184
1412,183
1413,184
1414,184
1415,186
1416,188
1417,189
1418,189
1419,188
1420,188
1421,201
1422,222
1423,245
1424,266
1425,280
1426,288
1427,294
1428,297
1429,301
1430,304
1431,307
1432,310
1433,313
1434,315
1435,315
1436,315
1437,315
1438,316
1439,317
1440,318
1441,320
1442,322
1443,322
1444,321
1445,320
1446,321
1447,321
1448,322
1449,325
1450,350
1451,373
1452,390
1453,401
1454,408
1455,413
1456,417
1457,420
1458,423
1459,425
1460,426
1461,426
1462,427
1463,428
1464,429
1465,430
1466,432
1467,433
1468,433
1469,432
1470,432
1471,433
1472,433
1473,434
1474,435
1475,436
1476,436
1477,436
1478,435
1479,445
1480,454
1481,461
1482,466
1483,469
1484,470
1485,469
1486,469
1487,469
1488,469
1489,470
1490,471
1491,472
1492,473
1493,473
1494,472
1495,472
1496,472
1497,473
1498,473
1499,474
1500,475
1501,475
1502,475
1503,474
1504,473
1505,474
1506,474
1507,475
1508,476
1509,476
1510,476
1511,475
1512,474
1513,474
1514,475
1515,475
1516,476
1517,477
1518,476
1519,476
1520,475
1521,475
1522,475
1523,476
1524,476
1525,477
1526,477
1527,476
1528,476
1529,475
1530,476
1531,476
1532,476
1533,477
1534,477
1535,477
1536,476
1537,475
1538,476
1539,476
1540,477
1541,477
1542,478
1543,477
1544,477
1545,476
1546,476
1547,476
1548,476
1549,477
1550,478
1551,478
1552,477
1553,476
1554,476
1555,476
1556,477
1557,477
1558,477
1559,478
1560,477
1561,477
1562,476
1563,476
1564,477
1565,477
1566,476
1567,470
1568,464
1569,457
1570,452
1571,450
1572,448
1573,448
1574,447
1575,447
1576,447
1577,445
1578,444
1579,443
1580,443
1581,443
1582,443
1583,444
1584,444
1585,444
1586,443
1587,442
1588,442
1589,442
1590,442
1591,443
1592,443
1593,443
1594,442
1595,440
1596,427
1597,411
1598,396
1599,382
1600,373
1601,367
1602,360
1603,355
1604,351
1605,349
1606,347
1607,345
1608,345
1609,345
1610,343
1611,341
1612,338
1613,338
