time,frequency
1,495
2,494
3,493
4,493
5,494
6,494
7,495
8,495
9,495
10,495
11,494
12,493
13,494
14,495
15,495
16,496
17,495
18,495
19,494
20,494
21,491
22,484
23,478
24,474
25,470
26,468
27,465
28,463
29,462
30,461
31,461
32,461
33,461
34,461
35,460
36,458
37,457
38,458
39,458
40,458
41,459
42,458
43,458
44,457
45,456
46,456
47,456
48,457
49,458
50,455
51,440
52,422
53,404
54,389
55,380
56,374
57,369
58,365
59,362
60,358
61,354
62,352
63,351
64,350
65,350
66,349
67,349
68,348
69,346
70,344
71,343
72,344
73,344
74,344
75,344
76,344
77,343
78,341
79,339
80,324
81,304
82,285
83,268
84,254
85,243
86,234
87,227
88,222
89,219
90,218
91,216
92,214
93,212
94,208
95,205
96,204
97,204
98,204
99,204
100,204
101,203
102,201
103,199
104,197
105,197
106,198
107,199
108,199
109,195
110,188
111,181
112,176
113,172
114,170
115,169
116,168
117,167
118,164
119,161
120,159
121,158
122,157
123,158
124,159
125,159
126,158
127,156
128,155
129,153
130,153
131,154
132,155
133,156
134,156
135,154
136,152
137,151
138,151
139,151
140,153
141,154
142,154
143,153
144,151
145,150
146,149
147,149
148,151
149,152
150,153
151,152
152,150
153,149
154,148
155,148
156,149
157,151
158,152
159,151
160,150
161,148
162,148
163,147
164,148
165,149
166,150
167,152
168,150
169,148
170,147
171,147
172,147
173,148
174,149
175,150
176,150
177,148
178,147
179,146
180,146
181,147
182,149
183,150
184,150
185,149
186,147
187,146
188,146
189,146
190,148
191,149
192,150
193,149
194,147
195,146
196,145
197,148
198,153
199,158
200,165
201,169
202,171
203,171
204,173
205,174
206,176
207,179
208,180
209,181
210,181
211,180
212,180
213,180
214,182
215,183
216,185
217,186
218,186
219,185
220,184
221,183
222,184
223,185
224,187
225,189
226,200
227,219
228,240
229,261
230,277
231,288
232,296
233,302
234,307
235,309
236,311
237,312
238,314
239,317
240,319
241,321
242,322
243,323
244,323
245,322
246,323
247,324
248,326
249,327
250,328
251,328
252,327
253,327
254,327
255,349
256,376
257,398
258,413
259,423
260,428
261,430
262,433
263,435
264,438
265,440
266,442
267,443
268,444
269,444
270,444
271,444
272,445
273,447
274,448
275,448
276,449
277,449
278,448
279,448
280,449
281,450
282,451
283,452
284,460
285,470
286,477
287,481
288,484
289,485
290,486
291,487
292,488
293,489
294,488
295,488
296,488
297,489
298,490
299,491
300,491
301,492
302,491
303,491
304,490
305,491
306,491
307,492
308,493
309,493
310,493
311,492
312,492
313,492
314,492
315,493
316,494
317,494
318,494
319,493
320,492
321,492
322,493
323,494
324,494
325,495
326,495
327,494
328,493
329,493
330,493
331,494
332,494
333,495
334,495
335,495
336,494
337,493
338,493
339,494
340,494
341,495
342,495
343,495
344,494
345,494
346,493
347,494
348,494
349,495
350,495
351,495
352,495
353,494
354,494
355,494
356,494
357,495
358,495
359,495
360,495
361,494
362,494
363,494
364,494
365,495
366,495
367,495
368,495
369,494
370,494
371,493
372,487
373,480
374,475
375,472
376,469
377,467
378,464
379,463
380,462
381,462
382,462
383,462
384,461
385,461
386,460
387,459
388,458
389,459
390,459
391,459
392,460
393,460
394,459
395,458
396,457
397,458
398,458
399,459
400,459
401,459
402,458
403,457
404,457
405,449
406,432
407,416
408,400
409,388
410,379
411,371
412,365
413,361
414,359
415,357
416,356
417,354
418,353
419,351
420,348
421,347
422,346
423,347
424,347
425,347
426,346
427,345
428,344
429,342
430,342
431,342
432,343
433,344
434,337
435,318
436,296
437,275
438,259
439,247
440,240
441,235
442,230
443,225
444,221
445,216
446,213
447,211
448,211
449,211
450,210
451,209
452,207
453,204
454,203
455,201
456,202
457,202
458,203
459,203
460,202
461,200
462,198
463,196
464,191
465,186
466,182
467,179
468,175
469,171
470,167
471,164
472,163
473,162
474,162
475,162
476,162
477,160
478,157
479,156
480,155
481,155
482,156
483,157
484,157
485,156
486,155
487,152
488,151
489,152
490,153
491,154
492,155
493,154
494,153
495,151
496,150
497,150
498,151
499,152
500,153
501,153
502,152
503,150
504,149
505,148
506,149
507,150
508,151
509,152
510,152
511,150
512,148
513,148
514,148
515,149
516,150
517,151
518,151
519,150
520,148
521,147
522,147
523,148
524,149
525,150
526,151
527,150
528,148
529,147
530,147
531,147
532,148
533,150
534,150
535,150
536,148
537,147
538,146
539,146
540,147
541,149
542,150
543,150
544,148
545,147
546,146
547,146
548,146
549,148
550,149
551,151
552,152
553,154
554,158
555,163
556,167
557,171
558,175
559,177
560,178
561,177
562,177
563,177
564,179
565,180
566,182
567,184
568,185
569,183
570,182
571,182
572,182
573,184
574,185
575,186
576,187
577,187
578,185
579,184
580,188
581,203
582,225
583,250
584,270
585,283
586,291
587,296
588,300
589,305
590,309
591,312
592,315
593,317
594,318
595,318
596,318
597,319
598,321
599,323
600,324
601,325
602,325
603,325
604,324
605,324
606,325
607,327
608,328
609,334
610,361
611,385
612,403
613,416
614,424
615,429
616,433
617,436
618,439
619,440
620,441
621,441
622,443
623,444
624,446
625,447
626,448
627,448
628,448
629,447
630,448
631,449
632,450
633,451
634,451
635,452
636,451
637,451
638,451
639,463
640,473
641,480
642,484
643,486
644,486
645,486
646,486
647,487
648,487
649,488
650,489
651,490
652,490
653,489
654,489
655,489
656,490
657,490
658,491
659,491
660,492
661,491
662,490
663,490
664,490
665,491
666,492
667,492
668,493
669,492
670,491
671,491
672,491
673,492
674,492
675,493
676,493
677,493
678,492
679,492
680,492
681,492
682,493
683,493
684,494
685,494
686,493
687,493
688,492
689,493
690,493
691,494
692,495
693,494
694,494
695,493
696,493
697,493
698,493
699,494
700,495
701,495
702,495
703,494
704,493
705,493
706,494
707,494
708,495
709,495
710,495
711,495
712,494
713,493
714,494
715,494
716,495
717,495
718,495
719,495
720,495
721,494
722,494
723,494
724,495
725,495
726,496
727,496
728,495
729,494
730,492
731,486
732,480
733,475
734,472
735,469
736,467
737,464
738,463
739,463
740,463
741,462
742,462
743,462
744,462
745,461
746,459
747,459
748,460
749,460
750,460
751,460
752,460
753,460
754,458
755,458
756,458
757,459
758,460
759,460
760,460
761,459
762,458
763,457
764,446
765,429
766,412
767,397
768,386
769,377
770,369
771,363
772,359
773,357
774,355
775,354
776,352
777,351
778,349
779,346
780,345
781,345
782,345
783,345
784,345
785,345
786,343
787,341
788,340
789,340
790,340
791,341
792,342
793,332
794,312
795,290
796,270
797,255
798,245
799,238
800,232
801,228
802,224
803,219
804,215
805,212
806,210
807,209
808,209
809,209
810,208
811,205
812,203
813,201
814,200
815,200
816,201
817,201
818,201
819,200
820,198
821,196
822,194
823,188
824,183
825,180
826,176
827,173
828,168
829,164
830,162
831,160
832,160
833,160
834,160
835,159
836,158
837,155
838,153
839,153
840,153
841,154
842,155
843,155
844,154
845,152
846,150
847,149
848,150
849,151
850,152
851,153
852,152
853,150
854,149
855,148
856,148
857,148
858,150
859,151
860,151
861,150
862,148
863,146
864,146
865,147
866,148
867,149
868,150
869,149
870,147
871,146
872,145
873,145
874,147
875,148
876,149
877,148
878,147
879,145
880,145
881,144
882,145
883,146
884,148
885,148
886,147
887,145
888,144
889,143
890,144
891,145
892,146
893,147
894,147
895,145
896,143
897,143
898,143
899,144
900,146
901,147
902,147
903,145
904,144
905,142
906,142
907,143
908,145
909,146
910,147
911,149
912,151
913,156
914,161
915,165
916,169
917,172
918,174
919,175
920,175
921,174
922,175
923,176
924,178
925,180
926,181
927,181
928,181
929,179
930,179
931,179
932,181
933,183
934,184
935,184
936,183
937,182
938,181
939,186
940,204
941,228
942,252
943,272
944,284
945,291
946,296
947,301
948,305
949,309
950,312
951,315
952,317
953,317
954,317
955,318
956,319
957,321
958,323
959,324
960,325
961,325
962,324
963,323
964,324
965,325
966,327
967,328
968,338
969,365
970,389
971,406
972,417
973,425
974,430
975,434
976,437
977,439
978,440
979,440
980,441
981,443
982,444
983,445
984,447
985,448
986,448
987,448
988,447
989,448
990,449
991,450
992,450
993,451
994,452
995,451
996,450
997,453
998,465
999,475
1000,481
1001,485
1002,486
1003,487
1004,487
1005,486
1006,488
1007,488
1008,489
1009,490
1010,489
1011,487
1012,485
1013,483
1014,484
1015,487
1016,490
1017,491
1018,492
1019,492
1020,492
1021,491
1022,491
1023,491
1024,492
1025,493
1026,493
1027,493
1028,493
1029,492
1030,492
1031,492
1032,493
1033,493
1034,494
1035,494
1036,494
1037,493
1038,493
1039,493
1040,493
1041,494
1042,494
1043,495
1044,495
1045,494
1046,494
1047,493
1048,494
1049,494
1050,495
1051,495
1052,496
1053,495
1054,495
1055,494
1056,494
1057,495
1058,495
1059,496
1060,496
1061,496
1062,495
1063,495
1064,495
1065,495
1066,496
1067,496
1068,496
1069,497
1070,496
1071,495
1072,495
1073,496
1074,496
1075,497
1076,497
1077,497
1078,497
1079,496
1080,496
1081,496
1082,496
1083,497
1084,497
1085,498
1086,497
1087,496
1088,496
1089,496
1090,496
1091,497
1092,497
1093,498
1094,498
1095,497
1096,496
1097,496
1098,496
1099,497
1100,497
1101,497
1102,492
1103,484
1104,478
1105,473
1106,470
1107,469
1108,467
1109,467
1110,466
1111,465
1112,464
1113,463
1114,462
1115,462
1116,462
1117,463
1118,463
1119,463
1120,462
1121,461
1122,460
1123,461
1124,461
1125,461
1126,461
1127,462
1128,461
1129,460
1130,459
1131,449
1132,433
1133,415
1134,400
1135,387
1136,379
1137,371
1138,365
1139,360
1140,358
1141,356
1142,355
1143,353
1144,352
1145,350
1146,348
1147,346
1148,345
1149,345
1150,345
1151,346
1152,345
1153,344
1154,343
1155,341
1156,341
1157,341
1158,342
1159,342
1160,334
1161,314
1162,292
1163,271
1164,255
1165,244
1166,237
1167,231
1168,227
1169,222
1170,218
1171,213
1172,210
1173,208
1174,207
1175,207
1176,206
1177,205
1178,204
1179,201
1180,199
1181,198
1182,198
1183,198
1184,199
1185,199
1186,198
1187,196
1188,195
1189,193
1190,193
1191,194
1192,195
1193,195
1194,190
1195,182
1196,176
1197,170
1198,167
1199,165
1200,164
1201,163
1202,162
1203,160
1204,157
1205,155
1206,154
1207,153
1208,154
1209,155
1210,155
1211,154
1212,152
1213,150
1214,149
1215,149
1216,150
1217,151
1218,152
1219,152
1220,151
1221,149
1222,147
1223,147
1224,148
1225,149
1226,151
1227,151
1228,150
1229,148
1230,147
1231,146
1232,146
1233,148
1234,149
1235,150
1236,149
1237,148
1238,147
1239,145
1240,145
1241,147
1242,148
1243,149
1244,149
1245,148
1246,146
1247,145
1248,145
1249,146
1250,147
1251,148
1252,149
1253,147
1254,146
1255,145
1256,144
1257,145
1258,146
1259,147
1260,148
1261,148
1262,146
1263,145
1264,144
1265,144
1266,145
1267,146
1268,148
1269,148
1270,146
1271,145
1272,144
1273,144
1274,144
1275,146
1276,147
1277,147
1278,146
1279,145
1280,143
1281,144
1282,146
1283,151
1284,158
1285,163
1286,167
1287,169
1288,169
1289,170
1290,172
1291,173
1292,176
1293,178
1294,179
1295,179
1296,178
1297,177
1298,178
1299,179
1300,180
1301,182
1302,183
1303,183
1304,181
1305,180
1306,180
1307,181
1308,182
1309,184
1310,187
1311,201
1312,222
1313,244
1314,265
1315,279
1316,290
1317,297
1318,303
1319,307
1320,310
1321,311
1322,313
1323,315
1324,317
1325,319
1326,321
1327,323
1328,324
1329,323
1330,323
1331,323
1332,325
1333,326
1334,327
1335,328
1336,329
1337,328
1338,327
1339,327
1340,328
1341,329
1342,330
1343,331
1344,355
1345,381
1346,400
1347,414
1348,422
1349,428
1350,432
1351,435
1352,438
1353,440
1354,440
1355,441
1356,442
1357,443
1358,445
1359,446
1360,447
1361,448
1362,448
1363,447
1364,447
1365,448
1366,449
1367,450
1368,450
1369,451
1370,451
1371,450
1372,450
1373,459
1374,470
1375,477
1376,482
1377,485
1378,485
1379,485
1380,485
1381,485
1382,486
1383,487
1384,488
1385,489
1386,489
1387,489
1388,488
1389,488
1390,488
1391,489
1392,490
1393,491
1394,491
1395,491
1396,490
1397,490
1398,490
1399,491
1400,492
1401,492
1402,492
1403,492
1404,492
1405,491
1406,491
1407,492
1408,492
1409,493
1410,493
1411,493
1412,493
1413,492
1414,492
1415,493
1416,493
1417,493
1418,494
1419,495
1420,494
1421,493
1422,493
1423,493
1424,494
1425,494
1426,494
1427,495
1428,495
1429,494
1430,493
1431,494
1432,494
1433,494
1434,495
1435,495
1436,495
1437,495
1438,494
1439,494
1440,494
1441,494
1442,495
1443,495
1444,496
1445,495
1446,494
1447,494
1448,494
1449,494
1450,495
1451,495
1452,495
1453,495
1454,495
1455,494
1456,494
1457,494
1458,495
1459,495
1460,495
1461,496
1462,495
1463,494
1464,493
1465,487
1466,481
1467,476
1468,472
1469,470
1470,467
1471,465
1472,463
1473,462
1474,462
1475,462
1476,462
1477,462
1478,461
1479,460
1480,459
1481,458
1482,459
1483,459
1484,459
1485,459
1486,460
1487,459
1488,458
1489,457
1490,457
1491,457
1492,458
1493,458
1494,448
1495,431
1496,412
1497,396
1498,384
1499,375
1500,370
1501,366
1502,363
1503,360
1504,356
1505,353
1506,350
1507,349
1508,349
1509,349
1510,348
1511,348
1512,347
1513,344
1514,343
1515,343
1516,343
1517,344
1518,344
1519,344
1520,343
1521,342
1522,340
1523,331
1524,311
1525,291
1526,273
1527,259
1528,247
1529,237
1530,229
1531,224
1532,220
1533,217
1534,215
1535,214
1536,212
1537,209
1538,206
1539,204
1540,202
1541,202
1542,202
1543,203
1544,203
1545,201
1546,199
1547,197
1548,196
1549,196
1550,196
1551,198
1552,196
1553,191
1554,184
1555,177
1556,172
1557,168
1558,167
1559,166
1560,165
1561,164
1562,161
1563,159
1564,157
1565,156
1566,155
1567,156
1568,157
1569,157
1570,156
1571,154
1572,152
1573,151
1574,151
1575,152
1576,153
1577,153
1578,153
1579,151
1580,150
1581,148
1582,148
1583,149
1584,150
1585,151
1586,152
1587,150
1588,148
1589,147
1590,147
1591,148
1592,148
1593,150
1594,150
1595,150
1596,148
1597,146
1598,146
1599,146
1600,147
1601,148
1602,149
1603,149
1604,148
1605,146
1606,145
1607,145
1608,145
1609,147
1610,149
1611,149
1612,147
1613,146
1614,144
1615,144
1616,145
1617,146
1618,147
1619,148
1620,148
1621,146
1622,144
1623,144
1624,144
1625,145
1626,146
1627,147
1628,147
1629,146
1630,144
1631,143
1632,143
1633,144
1634,146
1635,147
1636,149
1637,151
1638,153
1639,157
1640,162
1641,166
1642,169
1643,172
1644,174
1645,176
1646,175
1647,174
1648,175
1649,176
1650,178
1651,180
1652,181
1653,182
1654,181
1655,180
1656,179
1657,179
1658,181
1659,183
1660,184
1661,194
1662,213
1663,235
1664,257
1665,273
1666,284
1667,293
1668,299
1669,305
1670,308
1671,310
1672,311
1673,313
1674,315
1675,317
1676,319
1677,321
1678,322
1679,322
1680,322
1681,322
1682,323
1683,324
1684,325
1685,326
1686,327
1687,327
1688,327
1689,326
1690,345
1691,373
1692,397
1693,413
1694,423
1695,429
1696,432
1697,434
1698,436
1699,439
1700,441
1701,443
1702,444
1703,445
1704,446
1705,446
1706,446
1707,447
1708,448
1709,449
1710,449
1711,451
1712,451
1713,450
1714,449
1715,450
1716,450
1717,451
1718,452
1719,459
1720,470
1721,477
1722,481
1723,483
1724,484
1725,485
1726,486
1727,487
1728,488
1729,488
1730,487
1731,487
1732,488
1733,488
1734,489
1735,489
1736,490
1737,490
1738,489
1739,489
1740,489
1741,490
1742,490
1743,491
1744,491
1745,491
1746,491
1747,490
1748,490
1749,490
1750,491
1751,492
1752,492
1753,492
1754,492
1755,491
1756,491
1757,491
1758,492
1759,492
1760,493
1761,493
1762,493
1763,492
1764,492
1765,491
1766,492
1767,493
1768,493
1769,493
1770,494
1771,493
1772,492
1773,492
1774,493
1775,493
1776,493
1777,494
1778,494
1779,494
1780,493
1781,492
1782,492
1783,493
1784,493
1785,494
1786,494
1787,494
1788,493
1789,493
1790,492
1791,493
1792,493
1793,494
1794,495
1795,495
1796,494
1797,493
1798,493
1799,493
1800,494
1801,494
1802,494
1803,495
1804,494
1805,494
1806,493
1807,493
1808,494
1809,494
1810,495
1811,490
1812,483
1813,476
1814,471
1815,468
1816,466
1817,465
1818,464
1819,464
1820,463
1821,462
1822,460
1823,459
1824,460
1825,460
1826,460
1827,460
1828,460
1829,460
1830,458
1831,458
1832,458
1833,458
1834,458
1835,459
1836,459
1837,459
1838,458
1839,456
1840,450
1841,433
1842,416
1843,400
1844,388
1845,378
1846,371
1847,364
1848,359
1849,356
1850,354
1851,353
1852,352
1853,351
1854,349
1855,346
1856,344
1857,344
1858,343
1859,344
1860,343
1861,344
1862,343
1863,341
1864,340
1865,338
1866,339
1867,340
1868,340
1869,336
1870,318
1871,297
