time,frequency
1,239
2,237
3,235
4,232
5,228
6,226
7,223
8,217
9,215
10,214
11,214
12,213
13,212
14,212
15,210
16,207
17,204
18,205
19,205
20,205
21,204
22,201
23,198
24,194
25,188
26,188
27,187
28,186
29,186
30,184
31,184
32,182
33,178
34,176
35,177
36,177
37,178
38,178
39,177
40,177
41,174
42,171
43,173
44,173
45,174
46,174
47,174
48,174
49,173
50,169
51,170
52,171
53,172
54,172
55,173
56,173
57,172
58,168
59,168
60,169
61,170
62,171
63,171
64,171
65,171
66,169
67,166
68,167
69,169
70,169
71,169
72,170
73,170
74,169
75,165
76,166
77,167
78,168
79,169
80,169
81,169
82,169
83,166
84,165
85,166
86,167
87,167
88,167
89,168
90,167
91,166
92,162
93,164
94,164
95,165
96,166
97,166
98,166
99,164
100,161
101,161
102,163
103,163
104,164
105,164
106,164
107,163
108,160
109,159
110,161
111,162
112,162
113,162
114,163
115,163
116,161
117,158
118,159
119,160
120,161
121,162
122,162
123,163
124,162
125,159
126,162
127,164
128,165
129,167
130,168
131,169
132,170
133,168
134,168
135,170
136,171
137,173
138,174
139,174
140,174
141,173
142,171
143,172
144,174
145,176
146,177
147,177
148,178
149,177
150,175
151,176
152,177
153,178
154,181
155,185
156,191
157,196
158,199
159,205
160,213
161,220
162,227
163,234
164,240
165,245
166,249
167,252
168,258
169,263
170,268
171,271
172,273
173,275
174,277
175,277
176,280
177,284
178,287
179,289
180,292
181,294
182,296
183,296
184,297
185,299
186,302
187,308
188,322
189,338
190,354
191,367
192,379
193,393
194,404
195,415
196,423
197,431
198,438
199,443
200,446
201,451
202,456
203,460
204,463
205,465
206,467
207,469
208,470
209,471
210,474
211,476
212,477
213,479
214,480
215,481
216,481
217,481
218,483
219,484
220,486
221,491
222,496
223,501
224,505
225,507
226,511
227,515
228,518
229,521
230,523
231,525
232,526
233,526
234,527
235,528
236,530
237,531
238,533
239,534
240,534
241,534
242,533
243,534
244,535
245,535
246,536
247,536
248,537
249,536
250,535
251,536
252,536
253,537
254,538
255,538
256,539
257,539
258,538
259,537
260,538
261,538
262,538
263,539
264,539
265,539
266,538
267,537
268,538
269,538
270,539
271,540
272,540
273,541
274,540
275,539
276,539
277,539
278,540
279,540
280,540
281,540
282,540
283,539
284,538
285,539
286,539
287,540
288,541
289,541
290,541
291,540
292,539
293,540
294,540
295,540
296,540
297,540
298,541
299,540
300,539
301,539
302,540
303,540
304,541
305,542
306,542
307,542
308,541
309,540
310,540
311,541
312,541
313,541
314,541
315,541
316,541
317,539
318,540
319,540
320,541
321,540
322,538
323,535
324,531
325,526
326,524
327,521
328,519
329,516
330,514
331,513
332,511
333,508
334,506
335,506
336,505
337,504
338,503
339,502
340,501
341,499
342,497
343,497
344,497
345,497
346,497
347,497
348,496
349,496
350,495
351,495
352,495
353,496
354,492
355,484
356,475
357,465
358,454
359,443
360,435
361,427
362,420
363,413
364,406
365,400
366,393
367,386
368,382
369,378
370,375
371,370
372,365
373,361
374,356
375,351
376,348
377,346
378,344
379,343
380,342
381,340
382,339
383,336
384,334
385,334
386,334
387,332
388,325
389,316
390,307
391,297
392,285
393,278
394,271
395,264
396,259
397,253
398,248
399,242
400,234
401,230
402,227
403,224
404,222
405,219
406,215
407,212
408,208
409,203
410,202
411,202
412,201
413,200
414,199
415,198
416,196
417,191
418,192
419,192
420,192
421,191
422,188
423,186
424,183
425,176
426,174
427,173
428,172
429,171
430,170
431,169
432,168
433,165
434,161
435,162
436,162
437,163
438,162
439,162
440,162
441,160
442,156
443,157
444,158
445,158
446,159
447,159
448,159
449,158
450,155
451,154
452,155
453,156
454,157
455,157
456,157
457,157
458,155
459,152
460,153
461,154
462,155
463,156
464,156
465,156
466,155
467,151
468,152
469,153
470,154
471,155
472,155
473,155
474,155
475,152
476,151
477,153
478,154
479,155
480,155
481,156
482,156
483,154
484,151
485,153
486,154
487,155
488,155
489,156
490,156
491,155
492,151
493,152
494,153
495,154
496,154
497,155
498,155
499,155
500,152
501,151
502,152
503,153
504,154
505,155
506,155
507,155
508,153
509,150
510,152
511,152
512,153
513,154
514,155
515,155
516,154
517,150
518,151
519,152
520,153
521,154
522,155
523,155
524,156
525,154
526,154
527,156
528,158
529,160
530,161
531,163
532,163
533,163
534,161
535,163
536,165
537,166
538,167
539,168
540,168
541,167
542,164
543,166
544,167
545,169
546,170
547,171
548,171
549,172
550,169
551,169
552,170
553,172
554,174
555,177
556,182
557,188
558,192
559,196
560,204
561,212
562,219
563,226
564,233
565,239
566,243
567,245
568,252
569,257
570,262
571,266
572,269
573,271
574,273
575,273
576,275
577,279
578,282
579,286
580,288
581,291
582,293
583,294
584,293
585,296
586,298
587,302
588,313
589,328
590,344
591,359
592,371
593,385
594,397
595,408
596,418
597,426
598,433
599,439
600,443
601,447
602,452
603,457
604,460
605,463
606,465
607,467
608,468
609,469
610,471
611,474
612,476
613,477
614,479
615,480
616,480
617,480
618,481
619,483
620,484
621,488
622,493
623,499
624,503
625,506
626,510
627,514
628,517
629,520
630,522
631,524
632,526
633,527
634,527
635,529
636,530
637,532
638,533
639,534
640,535
641,535
642,534
643,535
644,536
645,536
646,537
647,537
648,537
649,538
650,537
651,537
652,537
653,538
654,539
655,540
656,540
657,540
658,539
659,538
660,539
661,540
662,540
663,540
664,540
665,540
666,540
667,539
668,539
669,539
670,540
671,541
672,542
673,542
674,542
675,541
676,540
677,540
678,541
679,541
680,541
681,541
682,541
683,540
684,539
685,540
686,540
687,541
688,541
689,542
690,542
691,542
692,540
693,540
694,541
695,541
696,541
697,541
698,541
699,541
700,541
701,540
702,540
703,541
704,542
705,543
706,543
707,543
708,542
709,541
710,541
711,542
712,542
713,542
714,542
715,542
716,542
717,540
718,541
719,541
720,542
721,542
722,540
723,537
724,534
725,530
726,526
727,524
728,521
729,519
730,517
731,515
732,513
733,511
734,509
735,508
736,507
737,507
738,506
739,505
740,504
741,502
742,500
743,499
744,499
745,500
746,499
747,499
748,499
749,499
750,497
751,497
752,497
753,498
754,497
755,491
756,482
757,472
758,461
759,449
760,441
761,433
762,425
763,417
764,410
765,404
766,398
767,390
768,385
769,381
770,378
771,373
772,368
773,364
774,359
775,354
776,349
777,347
778,346
779,345
780,343
781,341
782,340
783,338
784,335
785,335
786,334
787,334
788,329
789,321
790,311
791,301
792,290
793,281
794,274
795,267
796,261
797,255
798,249
799,244
800,237
801,231
802,227
803,225
804,222
805,219
806,216
807,213
808,209
809,203
810,202
811,201
812,200
813,200
814,199
815,198
816,196
817,192
818,191
819,191
820,191
821,191
822,189
823,186
824,184
825,179
826,174
827,173
828,172
829,171
830,170
831,169
832,169
833,166
834,162
835,162
836,163
837,163
838,163
839,163
840,163
841,162
842,158
843,157
844,158
845,159
846,160
847,160
848,160
849,160
850,157
851,155
852,156
853,157
854,158
855,158
856,158
857,158
858,157
859,153
860,154
861,155
862,156
863,157
864,157
865,157
866,157
867,154
868,153
869,154
870,155
871,156
872,156
873,156
874,156
875,154
876,151
877,153
878,153
879,154
880,155
881,155
882,155
883,154
884,150
885,151
886,152
887,153
888,154
889,154
890,155
891,154
892,151
893,150
894,151
895,152
896,153
897,154
898,154
899,154
900,152
901,149
902,150
903,152
904,153
905,153
906,153
907,154
908,153
909,149
910,150
911,151
912,152
913,153
914,153
915,153
916,153
917,150
918,149
919,150
920,151
921,153
922,153
923,154
924,155
925,154
926,152
927,154
928,156
929,158
930,159
931,161
932,162
933,162
934,159
935,161
936,163
937,165
938,166
939,167
940,167
941,167
942,165
943,164
944,166
945,167
946,169
947,170
948,171
949,171
950,170
951,168
952,169
953,171
954,172
955,175
956,179
957,185
958,190
959,193
960,201
961,208
962,216
963,224
964,230
965,237
966,242
967,245
968,250
969,256
970,261
971,266
972,269
973,271
974,273
975,275
976,275
977,279
978,282
979,285
980,288
981,291
982,293
983,294
984,294
985,296
986,299
987,301
988,308
989,323
990,339
991,354
992,367
993,380
994,393
995,405
996,415
997,423
998,431
999,437
1000,442
1001,446
1002,451
1003,455
1004,459
1005,462
1006,465
1007,467
1008,468
1009,468
1010,471
1011,473
1012,475
1013,477
1014,478
1015,480
1016,481
1017,480
1018,481
1019,482
1020,484
1021,486
1022,492
1023,497
1024,502
1025,506
1026,508
1027,512
1028,516
1029,519
1030,522
1031,524
1032,526
1033,527
1034,527
1035,529
1036,530
1037,531
1038,533
1039,534
1040,535
1041,536
1042,535
1043,535
1044,536
1045,536
1046,537
1047,537
1048,538
1049,538
1050,538
1051,536
1052,537
1053,538
1054,539
1055,540
1056,540
1057,541
1058,540
1059,539
1060,539
1061,539
1062,540
1063,540
1064,540
1065,540
1066,540
1067,539
1068,539
1069,540
1070,540
1071,541
1072,542
1073,542
1074,542
1075,541
1076,540
1077,540
1078,541
1079,541
1080,541
1081,541
1082,541
1083,541
1084,540
1085,540
1086,540
1087,541
1088,542
1089,542
1090,543
1091,542
1092,541
1093,541
1094,541
1095,542
1096,542
1097,542
1098,542
1099,542
1100,541
1101,540
1102,541
1103,541
1104,542
1105,542
1106,543
1107,543
1108,543
1109,542
1110,542
1111,542
1112,542
1113,542
1114,542
1115,542
1116,542
1117,541
1118,541
1119,541
1120,541
1121,542
1122,541
1123,539
1124,536
1125,531
1126,527
1127,524
1128,522
1129,520
1130,517
1131,515
1132,513
1133,511
1134,509
1135,507
1136,506
1137,506
1138,505
1139,504
1140,502
1141,501
1142,499
1143,498
1144,498
1145,498
1146,497
1147,497
1148,497
1149,497
1150,496
1151,495
1152,495
1153,496
1154,496
1155,492
1156,484
1157,475
1158,465
1159,453
1160,444
1161,435
1162,427
1163,420
1164,413
1165,406
1166,400
1167,393
1168,386
1169,383
1170,379
1171,375
1172,370
1173,365
1174,361
1175,356
1176,350
1177,348
1178,347
1179,345
1180,344
1181,342
1182,341
1183,339
1184,336
1185,335
1186,335
1187,335
1188,332
1189,325
1190,316
1191,306
1192,294
1193,283
1194,276
1195,269
1196,262
1197,256
1198,250
1199,244
1200,238
1201,230
1202,227
1203,224
1204,221
1205,218
1206,214
1207,211
1208,207
1209,202
1210,199
1211,198
1212,197
1213,196
1214,195
1215,194
1216,193
1217,190
1218,186
1219,187
1220,187
1221,187
1222,186
1223,183
1224,180
1225,176
1226,170
1227,169
1228,167
1229,167
1230,166
1231,164
1232,163
1233,162
1234,158
1235,156
1236,157
1237,157
1238,157
1239,157
1240,157
1241,157
1242,154
1243,151
1244,152
1245,153
1246,154
1247,154
1248,154
1249,154
1250,153
1251,149
1252,150
1253,151
1254,152
1255,153
1256,153
1257,153
1258,152
1259,149
1260,148
1261,150
1262,150
1263,151
1264,152
1265,152
1266,152
1267,150
1268,147
1269,149
1270,150
1271,151
1272,151
1273,151
1274,151
1275,150
1276,147
1277,148
1278,149
1279,149
1280,150
1281,151
1282,151
1283,150
1284,147
1285,146
1286,148
1287,149
1288,150
1289,150
1290,151
1291,150
1292,148
1293,145
1294,147
1295,148
1296,149
1297,150
1298,150
1299,150
1300,149
1301,145
1302,146
1303,147
1304,148
1305,149
1306,149
1307,149
1308,149
1309,146
1310,145
1311,146
1312,147
1313,148
1314,148
1315,149
1316,148
1317,146
1318,144
1319,146
1320,146
1321,147
1322,148
1323,149
1324,149
1325,149
1326,146
1327,148
1328,150
1329,152
1330,154
1331,155
1332,156
1333,157
1334,155
1335,155
1336,157
1337,159
1338,160
1339,161
1340,162
1341,162
1342,161
1343,158
1344,160
1345,162
1346,163
1347,164
1348,165
1349,166
1350,165
1351,162
1352,164
1353,165
1354,167
1355,168
1356,172
1357,177
1358,182
1359,186
1360,192
1361,200
1362,208
1363,215
1364,222
1365,229
1366,235
1367,239
1368,242
1369,249
1370,255
1371,260
1372,263
1373,266
1374,268
1375,270
1376,270
1377,273
1378,277
1379,280
1380,284
1381,286
1382,289
1383,291
1384,291
1385,292
1386,295
1387,297
1388,300
1389,312
1390,328
1391,345
1392,359
1393,372
1394,387
1395,399
1396,410
1397,420
1398,428
1399,435
1400,441
1401,445
1402,450
1403,455
1404,459
1405,463
1406,465
1407,468
1408,470
1409,470
1410,472
1411,475
1412,477
1413,479
1414,480
1415,482
1416,483
1417,483
1418,483
1419,485
1420,486
1421,488
1422,492
1423,497
1424,502
1425,506
1426,509
1427,513
1428,516
1429,520
1430,522
1431,525
1432,526
1433,528
1434,528
1435,529
1436,531
1437,532
1438,534
1439,535
1440,536
1441,537
1442,536
1443,536
1444,537
1445,537
1446,538
1447,538
1448,539
1449,539
1450,539
1451,538
1452,538
1453,539
1454,540
1455,540
1456,541
1457,542
1458,542
1459,541
1460,540
1461,541
1462,541
1463,541
1464,541
1465,541
1466,541
1467,541
1468,540
1469,541
1470,541
1471,541
1472,542
1473,543
1474,543
1475,543
1476,541
1477,542
1478,542
1479,542
1480,543
1481,542
1482,543
1483,543
1484,541
1485,541
1486,542
1487,542
1488,543
1489,543
1490,544
1491,544
1492,543
1493,542
1494,542
1495,543
1496,543
1497,543
1498,543
1499,543
