time,brightness
106,99.28
112,101.97
117,104.22
123,106.06
130,107.41
136,108.19
141,109.18
147,110.42
153,111.85
160,114.20
174,115.79
186,117.00
198,117.90
210,118.56
223,118.93
235,120.18
248,121.83
261,123.73
273,125.15
285,126.19
297,126.88
311,127.34
323,127.52
335,128.19
348,129.33
360,130.82
373,132.58
386,133.40
398,133.88
410,134.13
422,134.08
436,133.77
448,134.33
460,135.32
473,136.55
485,137.32
497,137.71
510,137.77
523,137.53
535,137.11
547,137.15
560,137.64
573,138.51
585,139.69
598,140.00
610,139.95
622,139.60
635,139.02
648,138.27
660,138.31
672,138.79
685,139.65
697,139.92
710,139.88
722,139.58
735,139.05
747,138.35
759,138.08
773,138.33
785,139.01
797,140.06
809,140.16
822,140.00
835,139.55
847,138.92
860,138.13
872,138.17
884,138.66
897,139.53
910,139.85
922,139.86
934,139.62
947,139.14
959,138.48
972,138.31
985,138.69
997,139.51
1009,140.68
1022,140.40
1037,140.38
1050,141.16
1063,140.60
1077,140.92
1090,141.32
1104,141.06
1118,141.75
1131,141.72
1144,141.73
1158,142.64
1172,142.11
1185,142.46
1199,143.03
1212,142.73
1225,143.45
1240,143.52
1253,143.55
1266,144.52
1280,143.94
1293,144.25
1307,144.83
1320,144.49
1334,145.07
1347,145.16
1360,145.06
1375,146.05
1388,145.35
1401,145.48
1415,146.06
1428,145.61
1442,146.03
1456,146.17
1469,145.92
1482,146.82
1496,145.93
1510,145.88
1523,146.39
1537,145.72
1550,145.98
1563,146.03
1577,145.58
1591,146.45
1604,145.43
1617,145.26
1631,145.75
1645,144.91
1658,144.91
1672,144.92
1685,144.37
1698,145.25
1713,144.09
1726,143.74
1739,144.15
1753,143.24
1767,143.18
1780,143.22
1794,142.61
1807,142.93
1820,142.43
1835,142.06
1848,142.66
1861,141.78
1874,141.74
1888,141.90
1902,141.30
1915,141.59
1929,141.31
1942,140.99
1955,141.69
1970,140.86
1983,140.82
1996,141.18
2010,140.62
2023,140.99
2037,140.94
2051,140.69
2064,141.61
2077,140.88
2091,140.98
2105,141.53
2118,141.11
2131,141.60
2145,141.77
2158,141.63
2172,142.70
2186,142.02
2199,142.16
2212,142.91
2226,142.51
2240,143.04
2253,143.38
2267,143.21
2280,144.40
2293,143.68
2308,143.80
2321,144.61
2334,144.13
2348,144.57
2361,144.94
2375,144.70
2388,145.91
2402,145.72
2415,145.73
2428,146.49
2443,145.87
2456,146.18
2469,146.57
2483,146.19
2496,146.78
2510,146.64
2524,146.51
2537,147.23
2550,146.47
2564,146.55
2578,146.82
2591,146.28
2605,146.62
2618,146.38
2632,146.02
2646,146.66
2659,145.78
2672,145.69
2685,145.91
2700,145.21
2713,145.35
2726,145.08
2740,144.58
2753,145.20
2767,144.19
2781,143.98
2794,144.23
2807,143.42
2821,143.50
2835,143.27
2848,142.76
2862,143.47
2875,142.45
2888,142.23
2903,142.57
2916,141.79
2929,141.90
2942,141.85
2956,141.31
2970,142.19
2983,141.18
2997,140.98
3010,141.53
3023,140.80
3038,140.96
3051,141.16
3064,140.75
3078,141.82
3091,141.53
3105,141.40
3119,142.13
3132,141.52
3145,141.75
3159,142.11
3173,141.75
3186,142.37
3200,142.30
3213,142.28
3226,143.17
3240,142.61
3254,142.88
3267,143.44
3280,143.16
3294,143.86
3308,143.91
3321,143.87
3335,144.87
3348,144.28
3361,144.57
3376,145.14
3389,144.78
3402,145.39
3416,145.57
3429,145.44
3443,146.42
3457,145.70
3470,145.87
3483,146.47
3497,146.00
3511,146.45
3524,146.63
3537,146.35
3551,147.28
3565,146.41
3578,146.39
3592,146.97
3605,146.32
3618,146.56
3633,146.63
3646,146.15
3659,147.09
3673,146.04
3686,145.84
3700,146.34
3714,145.53
3727,145.55
3740,145.57
3753,144.99
3768,145.89
3781,145.35
3794,144.98
3808,145.43
3821,144.51
3835,144.39
3849,144.42
3862,143.70
3875,143.96
3889,143.46
3903,143.04
3916,143.59
3930,142.66
3943,142.58
3956,142.75
3971,142.11
3984,142.35
3997,142.04
4011,141.63
4024,142.30
4038,141.39
4051,141.32
4065,141.65
4078,141.07
4091,141.37
4106,141.30
4119,141.03
4132,141.88
4146,141.09
4159,141.13
4173,141.73
4187,141.24
4200,141.63
4213,141.80
4227,141.61
4241,142.68
4254,141.94
4268,142.10
4281,142.84
4294,142.40
4308,142.88
4322,143.23
4335,143.07
4348,144.22
4363,143.51
4376,143.63
4389,144.45
4403,144.03
4416,144.48
4430,144.90
4444,144.66
4457,145.88
4470,145.73
4484,145.75
4498,146.56
4511,145.93
4525,146.23
4538,146.62
4551,146.29
4566,147.53
4579,147.40
4592,147.18
4605,147.92
4619,147.17
4633,147.27
4646,147.55
4660,146.98
4673,147.38
4686,147.16
4701,146.80
4714,147.51
4727,146.58
4741,146.50
4754,146.78
4768,146.04
4782,146.24
4795,145.98
4808,145.48
4822,146.15
4836,145.10
4849,144.84
4862,145.10
4876,144.29
4889,144.33
4903,144.11
4917,143.56
4930,144.28
4943,143.27
4957,143.00
4971,143.35
4984,142.53
4998,142.61
5011,142.53
