time,brightness
1,4
2,10
2,10
3,8
3,6
4,15
4,22
4,18
5,16
6,28
12,51
19,72
27,84
34,106
43,120
51,123
59,123
67,123
75,123
83,122
93,121
101,120
110,139
119,130
129,133
138,144
147,128
157,148
166,130
176,140
185,145
194,134
203,157
212,126
222,146
232,143
241,137
250,154
260,131
269,149
278,139
287,141
297,152
307,134
316,154
325,136
334,145
344,149
353,137
363,160
372,129
381,147
391,144
400,139
409,156
418,132
429,150
438,140
447,141
456,152
465,133
475,152
484,133
494,143
503,147
513,134
522,155
531,127
540,144
549,141
560,136
569,152
578,128
587,146
596,135
606,137
615,147
625,129
634,148
644,128
653,138
662,142
671,130
680,151
691,123
700,140
709,137
718,132
728,149
737,125
746,143
756,132
765,134
775,145
784,128
793,146
802,127
812,137
821,142
831,129
840,149
849,123
859,140
868,138
877,132
886,149
897,125
906,144
915,133
924,136
933,146
943,129
952,148
962,129
971,139
980,143
990,132
999,153
1008,125
1018,135
1030,143
1040,150
1050,157
1060,151
1071,146
1081,141
1092,138
1102,133
1113,130
1123,136
1133,144
1143,151
1154,158
1165,154
1175,150
1185,145
1196,140
1206,136
1216,133
1227,138
1238,146
1248,152
1258,158
1268,159
1278,153
1290,147
1300,143
1310,138
1320,134
1331,137
1341,144
1351,152
1362,158
1373,160
1383,154
1393,148
1403,144
1414,140
1425,135
1435,134
1445,143
1456,149
1466,156
1476,159
1486,152
1498,147
1508,142
1518,137
1528,134
1539,128
1549,138
1560,145
1570,152
1581,158
1591,151
1601,145
1611,141
1623,135
1633,131
1643,128
1653,132
1664,140
1674,147
1684,154
1695,148
1705,143
1716,138
1726,134
1736,129
1746,126
1758,128
1768,136
1778,143
1788,150
1799,148
1809,142
1819,138
1830,134
1841,129
1851,126
1861,126
1871,135
1882,142
1893,148
1903,149
1913,143
1924,139
1934,134
1944,130
1955,127
1966,125
1976,134
1986,142
1996,148
2007,152
2017,147
2028,141
2038,138
2049,134
2059,130
2069,126
2079,136
2091,144
2101,150
2111,158
2121,151
2131,146
2142,142
2152,138
2163,134
2173,130
2184,137
2194,145
2204,152
2214,158
2226,156
2236,151
2246,145
2256,142
2267,137
2277,134
2288,138
2298,146
2309,153
2319,159
2329,159
2339,153
2350,148
2361,142
2371,139
2381,135
2392,137
2402,144
2412,151
2423,158
2434,160
2444,154
2454,149
2464,144
2475,139
2486,135
2496,134
2506,142
2516,149
2527,155
2537,159
2547,153
2558,148
2569,142
2579,138
2589,133
2599,128
2610,138
2621,145
2631,151
2641,158
2652,151
2662,144
2672,140
2682,135
2694,131
2704,127
2714,132
2724,140
2735,147
2745,153
2756,148
2766,143
2777,138
2787,133
2797,129
2807,126
2818,127
2829,136
2839,143
2849,150
2860,148
2870,143
2880,138
2891,134
2902,130
2912,126
2922,126
2932,135
2942,142
2954,149
2964,149
2974,143
2984,138
2995,134
3005,131
3015,128
3026,125
3037,135
3047,142
3057,149
3067,153
3078,146
3089,143
3099,138
3109,134
3120,131
3130,128
3140,136
3150,143
3162,151
3172,158
3182,152
3192,147
3203,142
3213,138
3224,135
3234,130
3245,137
3255,145
3265,153
3275,159
3287,156
3297,151
3307,146
3317,141
3328,138
3338,134
3348,138
3359,146
3369,152
3380,159
3390,159
3400,153
3410,148
3422,143
3432,139
3442,134
3452,137
3463,144
3473,151
3484,158
3494,160
3505,153
3515,149
3525,143
3535,139
3546,135
3557,133
3567,143
3577,149
3588,155
3598,159
3608,152
3619,147
3630,142
3640,137
3650,133
3660,128
3671,137
3681,144
3692,150
3702,157
3713,150
3723,144
3733,140
3743,135
3755,131
3765,127
3775,132
3785,139
3795,146
3806,153
3816,148
3827,143
3837,138
3848,133
3858,129
3868,126
3878,128
3890,136
3900,144
3910,150
3920,148
3931,143
3941,138
3952,133
3962,130
3973,126
3983,126
3993,135
4003,142
4014,149
4025,149
4035,144
4045,139
4056,135
4066,131
4076,127
4087,123
4098,135
4108,143
4118,149
4128,153
4139,148
4149,142
4160,138
4170,135
4180,131
4191,128
4201,136
4211,144
4222,151
4233,158
4243,153
4253,147
4263,143
4274,139
4285,135
4295,130
4305,137
4316,146
4326,153
4336,159
4346,156
4358,151
4368,146
4378,142
4388,138
4399,134
4409,138
4420,146
4430,153
4441,159
4451,158
4461,153
4471,148
4482,143
4493,139
4503,135
4513,136
4524,145
4534,152
4544,158
4555,160
4566,154
4576,148
4586,143
4596,139
4606,134
4618,133
4628,142
4638,148
4648,155
4659,158
4669,152
4679,146
4690,141
4701,137
4711,133
4721,128
4731,136
4742,144
4753,150
4763,157
4773,149
4784,144
4794,139
4804,134
4814,130
4826,127
4836,131
4846,139
4856,146
4867,152
4877,148
4888,142
4898,138
4909,133
4919,129
4929,126
4939,128
4951,136
4961,143
4971,150
4981,148
4992,143
5002,138
