time,brightness
5,18.00
11,40.00
16,64.00
22,87.00
28,98.00
33,96.00
39,102.00
45,115.00
51,129.00
57,139.00
62,134.00
68,127.00
75,143.00
87,148.00
98,142.00
110,169.00
122,167.00
135,164.00
147,161.00
159,157.00
173,166.00
185,175.00
197,183.00
209,189.00
222,196.00
235,189.00
247,181.00
260,175.00
272,176.00
284,183.00
296,189.00
310,194.00
322,198.00
334,193.00
347,184.00
359,176.00
372,167.00
385,173.00
397,177.00
409,181.00
421,184.00
435,182.00
447,171.00
459,162.00
472,153.00
484,144.00
496,149.00
509,155.00
522,158.00
534,156.00
546,145.00
559,136.00
572,127.00
584,119.00
596,111.00
609,116.00
621,123.00
634,125.00
647,115.00
659,107.00
671,100.00
684,94.00
695,102.00
708,96.00
719,92.00
731,86.00
742,95.00
753,78.00
764,85.00
777,87.00
788,79.00
799,89.00
811,75.00
822,83.00
834,91.00
845,80.00
857,91.00
868,77.00
879,88.00
890,101.00
904,99.00
915,86.00
926,98.00
937,106.00
950,115.00
962,114.00
975,113.00
988,112.00
1000,112.00
1013,131.00
1027,119.00
1041,128.00
1054,146.00
1068,127.00
1081,149.00
1094,152.00
1108,143.00
1122,168.00
1135,156.00
1148,160.00
1162,177.00
1176,160.00
1189,177.00
1203,181.00
1216,168.00
1229,194.00
1244,182.00
1257,181.00
1270,196.00
1284,179.00
1297,192.00
1311,194.00
1325,175.00
1338,201.00
1351,189.00
1366,183.00
1379,199.00
1392,179.00
1405,186.00
1419,189.00
1433,167.00
1446,187.00
1460,178.00
1473,167.00
1486,185.00
1501,160.00
1514,164.00
1527,169.00
1541,144.00
1554,158.00
1568,151.00
1582,139.00
1595,153.00
1608,126.00
1622,131.00
1636,138.00
1649,114.00
1662,123.00
1676,116.00
1689,106.00
1703,114.00
1717,94.00
1729,102.00
1742,92.00
1755,87.00
1768,82.00
1780,89.00
1793,98.00
1805,93.00
1817,87.00
1829,84.00
1843,81.00
1855,79.00
1867,76.00
1880,77.00
1892,90.00
1905,94.00
1917,92.00
1930,91.00
1942,89.00
1954,89.00
1968,88.00
1980,88.00
1992,103.00
2006,102.00
2019,118.00
2033,104.00
2046,116.00
2060,133.00
2073,116.00
2086,135.00
2101,138.00
2114,132.00
2127,155.00
2141,142.00
2154,150.00
2168,166.00
2182,146.00
2195,168.00
2208,171.00
2222,160.00
2236,187.00
2249,174.00
2263,175.00
2276,191.00
2289,174.00
2304,189.00
2317,191.00
2330,176.00
2343,203.00
2357,188.00
2371,184.00
2384,199.00
2398,182.00
2411,192.00
2424,193.00
2439,173.00
2452,197.00
2465,183.00
2479,176.00
2492,191.00
2506,170.00
2520,176.00
2533,178.00
2546,156.00
2560,172.00
2574,162.00
2587,151.00
2600,169.00
2614,141.00
2627,145.00
2641,151.00
2655,127.00
2668,137.00
2681,129.00
2695,119.00
2709,128.00
2722,104.00
2736,110.00
2749,120.00
2763,96.00
2776,89.00
2788,98.00
2800,106.00
2813,86.00
2826,81.00
2839,85.00
2851,95.00
2864,91.00
2876,87.00
2888,84.00
2902,81.00
2914,79.00
2926,76.00
2938,75.00
2951,89.00
2964,96.00
2976,95.00
2989,93.00
3001,92.00
3013,92.00
3025,92.00
3039,90.00
3051,103.00
3064,106.00
3078,123.00
3091,105.00
3105,121.00
3119,135.00
3132,120.00
3145,140.00
3159,141.00
3173,137.00
3186,161.00
3200,145.00
3213,155.00
3226,169.00
3240,148.00
3254,173.00
3267,173.00
3280,164.00
3294,190.00
3308,175.00
3321,178.00
3335,192.00
3348,174.00
3361,192.00
3376,191.00
3389,178.00
3402,203.00
3416,187.00
3430,185.00
3443,199.00
3457,180.00
3470,192.00
3483,192.00
3497,174.00
3511,197.00
3524,181.00
3537,175.00
3551,189.00
3565,165.00
3578,174.00
3592,175.00
3605,154.00
3618,170.00
3633,156.00
3646,148.00
3659,166.00
3673,134.00
3686,142.00
3700,145.00
3714,123.00
3727,134.00
3740,122.00
3753,116.00
3768,125.00
3781,100.00
3794,107.00
3808,115.00
3821,94.00
3834,87.00
3847,93.00
3859,101.00
3872,84.00
3885,80.00
3898,81.00
3910,92.00
3922,91.00
3935,87.00
3947,84.00
3959,82.00
3973,79.00
3985,77.00
3997,75.00
4009,89.00
4022,99.00
4035,96.00
4047,95.00
4060,95.00
4072,96.00
4084,94.00
4098,94.00
4110,106.00
4123,108.00
4136,127.00
4150,108.00
4164,125.00
4177,138.00
4191,124.00
4204,145.00
4217,142.00
4232,141.00
4245,167.00
4258,147.00
4272,159.00
4285,171.00
4299,152.00
4313,176.00
4326,174.00
4339,168.00
4353,191.00
4367,176.00
4380,181.00
4393,192.00
4407,174.00
4420,195.00
4434,191.00
4448,179.00
4461,201.00
4474,186.00
4488,187.00
