time,brightness
1,0
1,6
2,12
2,9
3,8
3,7
3,17
4,25
4,17
5,15
5,22
11,46
18,69
26,94
33,95
40,124
49,131
57,135
65,137
73,139
81,139
90,139
99,139
107,146
116,163
125,165
135,160
144,179
153,155
163,182
173,175
182,175
191,187
200,168
209,197
219,180
229,186
238,190
247,176
257,199
266,181
275,193
284,190
294,182
304,199
313,177
322,197
331,186
340,183
350,193
360,171
369,200
378,178
388,182
397,185
406,168
415,190
425,166
435,176
444,174
453,161
462,181
472,148
481,166
491,161
500,151
509,167
519,137
528,155
537,144
546,139
557,157
566,125
575,141
584,113
593,125
603,140
612,113
621,145
631,102
641,113
650,117
659,101
668,128
677,92
686,89
695,86
703,95
711,101
720,87
729,84
737,81
745,79
753,76
762,91
771,99
779,93
787,89
795,87
803,85
812,83
820,82
829,81
837,78
845,78
854,78
862,87
870,96
878,104
887,85
897,85
905,84
913,94
921,103
930,96
939,96
947,96
956,95
964,105
973,109
983,126
992,110
1001,129
1011,129
1022,128
1033,126
1043,125
1053,125
1063,133
1074,144
1084,155
1095,163
1105,172
1116,164
1126,162
1136,159
1146,157
1158,154
1168,164
1178,173
1188,181
1199,188
1209,194
1219,193
1230,187
1241,182
1251,177
1261,173
1271,182
1282,189
1293,195
1303,199
1313,204
1324,207
1334,196
1344,189
1355,183
1366,177
1376,182
1386,188
1396,192
1406,195
1417,197
1428,201
1438,188
1448,179
1459,172
1469,164
1479,157
1490,167
1501,172
1511,175
1521,177
1531,180
1542,163
1552,155
1563,146
1573,139
1584,132
1594,125
1604,138
1614,143
1626,147
1636,139
1646,130
1656,122
1667,115
1677,109
1688,104
1698,98
1708,107
1718,101
1728,96
1737,107
1747,101
1759,96
1768,94
1777,87
1786,98
1796,80
1805,89
1814,75
1824,83
1833,99
1843,79
1852,88
1861,75
1870,84
1880,93
1890,81
1899,92
1908,79
1917,90
1927,93
1936,88
1945,103
1956,101
1967,99
1976,99
1985,99
1994,119
2004,116
2015,115
2026,115
2036,114
2046,114
2057,114
2067,113
2077,127
2088,139
2099,148
2109,158
2119,152
2129,150
2140,148
2150,147
2161,145
2171,142
2182,159
2192,169
2202,177
2212,185
2224,191
2234,181
2244,177
2254,174
2265,169
2275,173
2285,182
2296,189
2307,195
2317,200
2327,205
2337,199
2348,192
2359,186
2369,180
2379,181
2390,188
2400,193
2410,197
2421,200
2432,204
2442,198
2452,189
2462,181
2472,174
2483,168
2494,175
2504,180
2514,182
2525,186
2535,188
2545,179
2556,170
2567,161
2577,153
2587,146
2597,139
2608,150
2618,153
2629,158
2639,161
2650,147
2660,138
2670,130
2680,123
2692,117
2702,111
2712,105
2722,119
2733,124
2743,121
2754,112
2764,106
2775,100
2785,95
2794,106
2804,100
2814,95
2825,88
2834,87
2843,103
2853,93
2863,78
2872,86
2881,88
2891,81
2900,92
2910,78
2919,86
2928,74
2937,84
2947,99
2957,82
2966,93
2975,80
2984,91
2994,102
3004,113
3014,106
3025,103
3036,103
3046,103
3056,103
3066,103
3077,103
3088,116
3098,128
3108,138
3119,139
3129,138
3139,137
3149,136
3161,134
3171,134
3181,132
3191,149
3202,159
3212,168
3223,176
3233,175
3244,170
3254,167
3264,165
3274,161
3286,167
3296,176
3306,183
3316,190
3326,197
3337,201
3347,194
3358,188
3368,182
3379,178
3389,182
3399,189
3409,194
3421,198
3431,203
3441,207
3451,199
3462,191
3472,184
3482,177
3493,170
3504,183
3514,187
3524,191
3534,193
3545,195
3556,187
3566,177
3576,170
3587,162
3597,154
3607,157
3618,163
3629,167
3639,169
3649,173
3659,158
3670,149
3680,141
3691,134
3701,128
3712,121
3722,127
3732,132
3742,137
3753,132
3764,125
3774,117
3784,110
3794,104
3805,99
3814,108
3825,103
3835,97
3845,106
3855,103
3865,97
3874,81
3885,89
3894,93
3903,83
3912,92
3921,77
3931,86
3940,85
3949,81
3959,93
3969,78
3978,87
3987,75
3996,85
4005,100
4016,97
4026,83
4035,94
4044,93
4054,93
4063,113
4073,108
4084,107
4094,107
4105,106
4115,107
4125,106
4135,106
4146,118
4157,130
4167,141
4177,151
4188,143
4198,142
4208,140
4219,139
4230,137
4240,136
4250,152
4260,161
4271,170
4281,178
4292,187
4302,175
4313,171
4323,168
4333,165
4343,161
4355,177
4365,185
4375,191
4385,197
4396,202
4406,197
4417,190
4427,184
4438,179
4448,174
4458,188
4468,194
4478,198
4490,202
4500,205
4510,200
4520,192
4531,184
4541,178
4552,170
4562,180
4573,185
4583,188
4593,191
4603,193
4614,186
4625,176
4635,168
4645,160
4656,153
4666,145
4676,157
4687,161
4698,165
4708,168
4718,156
4728,147
4739,139
4750,132
4760,125
4770,119
4781,121
4791,126
4801,132
4811,137
4823,121
4833,114
4843,108
4853,101
4864,97
4873,106
