time,brightness
26,334.68
32,339.54
38,343.04
44,344.43
50,344.14
56,343.71
61,344.17
67,345.34
73,347.67
79,349.54
84,349.43
96,349.94
107,349.35
119,349.28
132,349.63
145,349.10
157,346.88
169,342.50
182,337.60
194,333.48
207,330.19
220,327.15
232,324.32
244,321.26
257,316.80
270,310.84
282,303.87
294,297.50
307,293.40
319,290.92
331,289.34
345,288.67
357,288.13
369,285.51
381,281.81
394,277.25
407,273.60
419,271.88
432,271.10
444,270.28
456,270.42
470,268.54
482,265.43
494,261.35
506,256.68
519,253.14
532,251.31
544,250.85
557,251.08
569,248.86
581,245.69
593,241.55
607,237.24
619,232.59
631,229.08
644,227.46
656,227.37
669,225.49
681,222.80
694,219.44
706,216.15
718,212.52
731,209.02
744,207.41
756,206.93
769,206.74
781,206.00
793,205.00
806,203.40
819,201.72
831,199.77
843,198.02
856,199.42
869,201.93
881,203.55
893,204.24
906,204.59
918,204.67
930,204.74
944,204.59
956,206.87
968,211.10
980,215.28
993,218.02
1006,220.22
1019,222.77
1033,223.22
1046,226.98
1059,229.18
1074,230.74
1087,236.40
1100,236.92
1114,240.13
1127,244.31
1141,244.65
1155,248.92
1168,251.53
1181,252.63
1195,257.50
1209,258.80
1222,261.04
1235,264.43
1249,263.35
1262,266.28
1276,268.62
1290,268.50
1303,271.80
1316,272.04
1331,272.63
1344,274.90
1357,273.32
1371,274.86
1384,275.69
1398,273.75
1412,276.20
1425,274.96
1438,273.57
1452,274.25
1466,270.60
1479,269.88
1492,269.31
1506,265.64
1519,265.92
1533,263.33
1547,260.47
1560,260.57
1573,255.46
1587,253.37
1601,251.49
1614,246.99
1628,245.80
1641,242.04
1654,238.63
1669,238.10
1682,233.08
1695,230.27
1709,228.81
1722,224.45
1736,222.36
1750,219.09
1763,215.87
1776,215.10
1789,212.28
1804,210.22
1817,210.38
1830,207.50
1844,206.40
1857,204.92
1871,203.54
1885,204.43
1898,202.54
1911,202.43
1925,204.95
1939,203.96
1952,205.17
1966,206.13
1979,206.51
1992,209.81
2007,209.04
2020,210.84
2033,215.27
2046,215.41
2060,218.73
2074,221.99
2087,223.39
2101,228.31
2114,229.65
2127,232.32
2142,237.26
2155,237.40
2168,241.32
2182,245.06
2195,246.05
2209,251.44
2223,253.55
2236,255.44
2249,259.55
2264,259.84
2277,262.67
2290,265.54
2304,265.23
2317,269.98
2331,270.79
2344,271.03
2358,274.22
2371,273.78
2384,274.82
2399,276.46
2412,274.17
2425,276.53
2439,276.03
2452,274.42
2466,275.94
2480,273.55
2493,272.84
2506,272.87
2520,269.10
2534,269.48
2547,268.18
2561,264.95
2574,265.56
2587,261.65
2601,259.12
2615,258.49
2628,253.79
2641,252.04
2655,249.63
2669,246.10
2682,245.28
2696,239.63
2709,236.70
2722,236.36
2737,231.49
2750,228.99
2763,226.79
2777,223.03
2790,221.43
2804,216.74
2818,214.39
2831,214.11
2844,210.69
2857,209.35
2872,208.68
2885,206.15
2898,205.92
2912,202.93
2925,202.35
2939,203.88
2953,202.30
2966,202.84
2979,204.27
2993,203.82
3007,205.85
3020,205.88
3034,206.71
3047,210.37
3060,210.49
3075,212.79
3088,216.64
3101,217.31
3115,221.05
3129,223.64
3142,225.31
3155,231.05
3169,231.44
3182,234.55
3196,239.04
