Time,Vin,Vout
99,2.6574,2.4462
113,2.1300,1.9702
126,1.9379,2.0171
141,1.9922,2.3944
154,2.6799,2.8363
167,3.0386,2.7634
182,2.7766,2.3377
195,1.8876,1.9150
209,1.7761,2.0616
223,2.0704,2.5122
237,2.9027,2.8773
250,2.9873,2.6852
265,2.4971,2.2087
278,1.8788,1.9037
291,2.0249,2.1427
306,2.3314,2.6163
319,2.9032,2.8749
333,2.9677,2.6241
347,2.4394,2.1295
361,1.8700,1.9042
374,1.8617,2.1965
389,2.3881,2.6970
402,3.1012,2.8763
416,2.9071,2.5474
430,2.1750,2.0337
443,1.7004,1.9370
457,1.9252,2.2967
471,2.6373,2.7796
485,3.0596,2.8138
498,2.6569,2.4462
513,2.1359,1.9756
526,1.9404,2.0166
540,1.9761,2.3719
553,2.6711,2.8255
568,3.0499,2.7659
581,2.7928,2.3631
594,2.0919,1.9272
609,1.7649,2.0435
622,2.0523,2.4824
636,2.9022,2.8768
650,2.9995,2.7072
664,2.5108,2.2341
677,1.8822,1.9022
692,1.8148,2.1237
705,2.3196,2.5987
719,2.9037,2.8754
733,2.7674,2.6285
746,2.4511,2.1452
760,1.8719,1.9052
774,1.8495,2.1769
788,2.3744,2.6779
801,3.1095,2.8783
816,2.9198,2.5679
829,2.3837,2.0577
843,1.6935,1.9247
857,1.9062,2.2693
871,2.6310,2.7703
884,3.0684,2.8289
898,2.6637,2.4658
912,2.1486,1.9897
925,1.7297,1.9858
940,1.9545,2.3548
953,2.6603,2.8113
967,2.8475,2.7693
980,2.8148,2.3939
995,2.1051,1.9418
1008,1.7556,2.0254
1022,2.0186,2.4335
1036,2.6896,2.8500
1050,3.0337,2.7561
1063,2.7761,2.3412
1078,2.0894,1.9247
1091,1.7630,2.0406
1105,2.0386,2.4609
1119,2.9022,2.8641
1133,3.0210,2.7366
1146,2.7527,2.3084
1161,1.8895,1.9013
1174,1.7752,2.0606
1188,2.0591,2.4932
1202,2.9027,2.8773
1216,3.0098,2.7214
1229,2.7297,2.2747
1244,1.8876,1.9027
1257,1.7859,2.0777
1271,2.0802,2.5220
1285,2.9018,2.8768
1299,2.9941,2.7004
1312,2.5137,2.2449
1327,1.8851,1.9037
1341,1.7977,2.0968
1354,2.2977,2.5552
1369,2.9027,2.8773
1382,2.9863,2.6852
1396,2.5073,2.2204
1410,1.8837,1.9032
1424,1.8065,2.1105
1437,2.3060,2.5743
1452,2.9027,2.8763
1465,2.9756,2.6701
1479,2.4941,2.2028
1492,1.8817,1.9042
1507,2.0244,2.1310
1520,2.3201,2.5953
1534,2.9042,2.8773
1548,2.7717,2.6471
1562,2.4800,2.1852
1575,1.8793,1.9057
1590,2.0269,2.1564
1603,2.3289,2.6090
1617,2.9042,2.8759
1632,2.7698,2.6325
1645,2.4673,2.1672
1659,1.8778,1.9057
1673,2.0269,2.1613
1687,2.3387,2.6241
1700,2.9042,2.8759
1715,2.7683,2.6281
1728,2.4599,2.1574
1742,1.8763,1.9047
1756,2.0279,2.1647
1770,2.3431,2.6320
1783,2.9062,2.8759
1798,2.9731,2.6256
1811,2.4531,2.1476
1825,1.8773,1.9062
1840,1.8333,2.1676
1853,2.3495,2.6398
1867,2.9062,2.8773
1881,2.9673,2.6237
1895,2.4487,2.1422
1908,1.8759,1.9057
1923,1.8397,2.1701
1936,2.3553,2.6491
1950,2.9071,2.8749
1964,2.9589,2.6251
1978,2.4409,2.1305
1991,1.8749,1.9057
2006,1.8485,2.1725
2019,2.3656,2.6632
2033,2.9066,2.8744
2046,2.9497,2.6124
2061,2.4291,2.1188
2075,1.8724,1.9057
2088,1.8543,2.1843
2103,2.3705,2.6720
2116,2.9096,2.8773
2130,2.9438,2.6026
2144,2.4179,2.1026
2158,1.6720,1.9062
2171,1.8671,2.2028
2186,2.3837,2.6896
2199,3.1109,2.8773
2213,2.9340,2.5875
2227,2.4081,2.0885
2241,1.6808,1.9062
2254,1.8773,2.2195
2269,2.3974,2.7072
2282,3.1046,2.8807
2296,2.9194,2.5655
2310,2.3930,2.0694
2324,1.6867,1.9110
2338,1.8871,2.2366
2352,2.4086,2.7248
2366,3.0992,2.8719
2379,2.9081,2.5494
2394,2.3793,2.0499
2407,1.6935,1.9233
2421,1.8983,2.2542
2435,2.6246,2.7434
2449,3.0909,2.8617
2462,2.8969,2.5308
2477,2.1750,2.0332
2490,1.7004,1.9350
2504,1.9130,2.2771
