Time,Vin,Vout
101,0.455,0.870
102,2.322,0.855
103,3.074,1.867
105,3.587,2.625
106,3.954,3.206
107,4.218,3.631
109,4.409,3.969
110,2.307,3.778
112,1.569,2.776
113,1.114,2.033
114,0.787,1.486
116,0.577,1.095
117,0.425,0.811
119,2.561,1.173
120,3.240,2.107
121,3.700,2.810
123,4.032,3.333
124,4.282,3.739
126,4.453,4.042
128,2.048,3.460
129,1.422,2.542
131,1.012,1.867
132,0.723,1.369
133,0.523,1.002
135,0.386,0.743
136,2.776,1.461
138,3.392,2.322
139,3.812,2.972
140,4.115,3.465
142,4.340,3.842
143,4.497,4.115
145,1.833,3.152
146,1.281,2.312
147,0.909,1.696
149,0.655,1.246
150,0.474,0.914
152,0.347,0.655
153,2.991,1.745
154,3.529,2.542
156,3.910,3.138
157,4.194,3.592
158,4.394,3.930
160,2.429,3.930
161,1.647,2.884
163,1.158,2.116
164,0.831,1.544
165,0.601,1.134
167,0.435,0.836
168,2.478,1.051
171,3.187,2.019
172,3.661,2.747
173,4.003,3.289
175,4.257,3.705
176,4.433,4.013
178,2.146,3.568
179,1.471,2.620
180,1.046,1.916
182,0.748,1.408
183,0.543,1.041
184,0.396,0.767
186,2.708,1.359
187,3.333,2.243
189,3.778,2.918
190,4.086,3.426
191,4.311,3.807
193,4.477,4.086
194,1.916,3.270
196,1.329,2.390
197,0.943,1.760
198,0.689,1.290
200,0.499,0.958
201,0.362,0.704
202,2.908,1.618
204,3.470,2.444
205,3.861,3.055
207,4.159,3.534
208,4.360,3.886
209,4.516,4.154
211,1.735,3.016
212,1.217,2.209
215,0.865,1.623
216,0.630,1.193
217,0.455,0.880
219,2.331,0.865
220,3.084,1.877
221,3.597,2.634
223,3.954,3.211
224,4.223,3.641
226,4.413,3.969
227,2.283,3.749
228,1.559,2.747
230,1.095,2.019
231,0.787,1.476
233,0.577,1.085
234,0.415,0.802
235,2.590,1.202
237,3.250,2.121
238,3.715,2.820
240,4.037,3.353
241,4.282,3.744
242,4.462,4.047
244,2.038,3.436
245,1.413,2.532
246,1.002,1.852
248,0.714,1.354
249,0.523,0.997
251,0.381,0.733
252,2.810,1.496
253,3.407,2.351
256,3.817,2.986
257,4.120,3.480
259,4.335,3.842
260,4.497,4.120
261,1.828,3.148
263,1.276,2.312
264,0.909,1.681
266,0.650,1.237
267,0.479,0.914
268,0.352,0.655
270,3.001,1.760
271,3.539,2.542
272,3.915,3.148
274,4.189,3.597
275,4.394,3.930
277,2.414,3.910
278,1.637,2.864
279,1.149,2.107
281,0.821,1.540
282,0.601,1.134
284,0.435,0.831
285,2.493,1.075
286,3.192,2.023
288,3.666,2.752
289,4.013,3.299
291,4.262,3.710
292,4.448,4.018
293,2.131,3.558
295,1.466,2.610
296,1.041,1.906
297,0.748,1.408
300,0.538,1.031
301,0.391,0.758
303,2.713,1.373
304,3.348,2.268
305,3.793,2.933
307,4.091,3.436
308,4.311,3.812
