time,range
1504,151
2988,108
4468,332
5948,501
7432,630
8924,727
10416,800
15896,308
27336,822
38776,481
50216,251
61660,767
73092,579
84536,201
95976,616
107416,661
119900,215
132376,315
144860,767
157336,660
169820,215
182296,315
194780,768
207252,660
219740,215
232216,315
244700,768
257176,661
269660,214
282132,315
294620,768
307096,661
319580,215
332052,315
344540,768
357016,660
369500,215
381972,315
394460,768
406936,660
419420,215
431896,315
444380,768
456856,661
469340,214
481816,315
494300,768
506776,661
519260,216
531736,315
544220,768
556692,661
569180,215
581656,315
594140,768
606616,660
619100,215
631576,315
644060,768
656536,661
669020,215
681496,315
693980,768
706456,661
718940,215
731416,315
743900,768
756376,660
768860,215
781332,315
793820,768
806296,660
818780,215
831256,315
843740,768
856216,660
868700,215
881176,315
893660,768
906136,661
918620,215
931096,315
943580,768
956052,661
968540,215
981016,315
993500,768
1005976,660
1019492,361
1033016,201
1046536,394
1060060,768
1073576,726
1087092,482
1100616,161
1114136,315
1127656,616
1141176,780
1154696,580
1168220,215
1181736,252
1195256,494
1208772,824
1222296,661
1235816,362
1249336,201
1262856,394
1276380,768
1289892,726
1303416,482
1316936,161
1330456,315
1343976,616
1357496,780
1371016,580
1384540,215
1398056,252
1411576,493
1425092,824
1438612,661
1452136,362
1465656,201
1479176,394
1492700,768
1506216,726
1519736,482
1533256,161
1546772,315
1560296,616
1573812,780
1587336,580
1600860,215
1614376,251
1627892,493
1641416,823
1654936,661
1668456,361
1681976,201
1695496,394
1709020,768
1722536,726
1736052,481
1749576,161
1763096,315
1776612,615
1790136,780
1803656,579
1817180,215
1830696,252
1844212,493
1857736,824
1871256,660
1884772,361
1898292,201
1911812,394
1925340,768
1938856,726
1952376,482
1965896,161
1979416,315
1992936,616
2006456,780
2019972,580
2033500,215
2047016,252
2060532,493
2074056,823
2087576,660
2101096,362
2114612,201
2128136,394
2141660,767
2155172,726
2168692,482
2182216,161
2195732,315
2209256,616
2222776,780
2236292,580
2249820,215
2263332,252
2276856,493
2290376,824
2303892,661
2317412,362
2330936,201
2344456,394
2357980,768
2371496,726
2385016,481
2398532,161
2412056,315
2425576,616
2439096,780
2452616,580
2466140,214
2479652,252
2493176,493
2506696,823
