time,signal
1504,131
2988,88
4424,324
5908,496
7392,627
8884,725
10376,798
14852,378
26292,782
37732,368
49176,308
60616,827
72052,489
83496,247
94940,759
106372,586
118856,157
131332,387
143812,827
156292,586
168772,157
181252,388
193736,827
206216,586
218696,157
231172,388
243652,827
256136,586
268616,158
281092,388
293576,827
306052,586
318532,157
331016,388
343496,827
355976,586
368456,158
380936,387
393416,827
405896,586
418372,158
430852,387
443336,827
455816,586
468296,158
480772,388
493256,827
505736,586
518212,158
530692,388
543176,827
555656,586
568136,157
580616,388
593092,827
605576,586
618056,158
630536,388
643016,827
655492,586
667972,158
680452,388
692932,827
705412,586
717896,158
730376,387
742856,827
755336,586
767812,158
780296,388
792776,827
805256,586
817736,158
830216,388
842696,827
855176,586
867656,158
880132,388
892616,827
905096,586
917576,157
930056,388
942536,827
955016,586
967496,158
979976,388
992456,827
1004936,586
