time,signal
2812,0
4216,1022
5752,1022
7284,1021
8824,1022
10356,1022
14856,0
24216,1022
36700,1022
49176,0
58532,1022
71016,1022
83496,0
92856,1022
105336,1022
118852,0
129252,0
139656,1022
153180,1022
166696,0
177096,1022
190616,1022
204132,1022
217656,0
228060,0
238456,1022
251972,0
262372,0
272776,1022
286300,1021
299816,0
310216,1022
323736,1022
337256,1022
350776,0
361180,0
371576,1022
385096,0
395492,0
405896,1022
419420,1021
432936,0
443336,1022
456852,1022
470376,1022
483896,0
494300,0
504692,1022
518216,0
528612,0
539016,1022
552540,1022
566056,0
576456,1022
589976,1022
603496,1022
617016,0
627420,0
637816,1022
651336,0
661736,0
672132,1022
685660,1021
699176,0
709576,1022
723096,1022
736616,1022
750132,0
760540,0
770936,1022
784456,0
794856,0
805256,1022
818780,1021
832296,0
842692,1022
856212,1022
869736,1022
883256,0
893660,0
904052,1022
917576,0
927976,0
938376,1022
951900,1022
965412,0
975812,1022
989336,1022
1002856,1022
1017412,0
1028856,0
1040296,1022
1054856,1022
1069416,1022
1083972,0
1095416,0
1106856,1022
1121416,1022
1135976,1022
1150536,0
1161976,0
1173412,1022
1187976,1022
1202536,1021
1217092,0
1228536,0
1239972,1022
1254532,1022
1269096,1022
1283656,0
1295096,0
1306536,1022
1321096,1022
1335656,1022
1350216,0
1361652,0
1373092,1022
1387652,1022
1402216,1022
1416772,0
1428212,0
1439656,1022
1454216,1022
1468772,1022
1483336,0
1494776,0
1506212,1022
1520776,1022
1535336,1022
1549892,0
1561336,0
1572772,1022
1587336,1022
1601896,1022
1616456,0
1627892,0
1639336,1022
1653896,1022
1668456,1022
1683012,0
1694452,0
1705892,1022
1720456,1022
1735016,1022
1749572,0
1761016,0
1772456,1022
1787016,1022
1801576,1021
1816136,0
1827576,0
1839016,1022
1853576,1022
1868136,1022
1882696,0
1894136,0
1905576,1022
1920136,1022
1934696,1022
1949256,0
1960696,0
1972136,1022
1986696,1022
2001256,1022
2015816,0
2027256,0
2038696,1022
2053256,1022
2067816,1022
2082376,0
2093812,0
2105256,1022
2119816,1022
2134376,1022
2148932,0
2160376,0
2171816,1022
2186376,1022
2200936,1022
2215496,0
2226936,0
2238376,1022
2252936,1022
2267492,1022
2282052,0
2293496,0
2304936,1022
2319496,1022
2334056,1022
2348616,0
2360056,0
2371496,1022
2386056,1022
2400612,1022
2415172,0
2426616,0
2438052,1022
2452616,1022
2467176,1022
2481732,0
2493176,0
2504616,1022
2519176,1022
2533736,1022
2548296,0
2559736,0
2571176,1022
2585732,1022
2600296,1022
2614856,0
2626292,0
2637736,1022
2652296,1022
2666856,1022
2681412,0
2692856,0
2704296,1022
2718856,1022
2733416,1022
2747976,0
2759412,0
2770856,1022
2785416,1022
2799972,1022
2814536,0
2825976,0
2837416,1022
2851976,1022
2866536,1022
2881096,0
2892532,0
2903976,1022
2918532,1022
2933096,1022
2947656,0
2959092,0
2970536,1022
2985092,1022
2999656,1022
3014216,0
3025656,0
3037096,1022
3051652,1022
3066212,1022
3080776,0
3092212,0
3103652,1022
3118216,1022
3132776,1022
3147336,0
3158776,0
3170216,1022
3184772,1022
3199336,1022
3213896,0
3225332,0
3236776,1022
