time,range
1504,266
2988,189
4468,136
5948,98
7388,73
8840,54
10284,40
11780,30
22140,475
33576,389
45016,288
56460,316
67896,505
79336,638
90772,734
102212,539
114692,305
127172,432
139652,669
152136,539
164616,305
177096,433
189576,669
202056,539
214536,305
227016,433
239496,669
251976,539
264456,305
276936,433
289416,669
301896,539
314376,305
326856,433
339332,669
351816,539
364292,305
376776,433
389256,669
401736,539
414216,305
426696,433
439176,669
451656,539
464132,305
476616,433
489096,669
501576,539
514052,305
526536,432
539016,669
551496,539
563976,305
576456,433
588936,669
601416,540
613896,305
626376,433
638852,669
651336,539
663816,305
676296,433
688776,669
701256,539
713736,305
726216,433
738696,669
751176,539
763656,305
776136,433
788612,669
801096,539
813576,305
826056,433
838536,669
851016,539
863492,305
875976,433
888456,669
900932,539
913412,305
925896,433
938376,669
950852,539
963336,305
975816,433
988296,669
1000776,539
1014296,242
1027816,638
1041336,467
1054860,317
1068372,683
1081896,404
1095420,407
1108936,723
1122456,351
1135976,483
1149500,692
1163012,305
1176536,548
1190060,594
1203572,266
1217096,604
1230616,514
1244136,229
1257652,654
1271172,445
1284700,349
1298212,697
1311736,386
1325252,433
1338772,735
1352296,335
1365816,505
1379340,657
1392856,292
1406376,567
1419900,566
1433416,254
1446932,622
1460452,490
1473980,284
1487496,669
1501012,424
1514540,379
1528056,710
1541576,368
1555096,459
1568612,745
1582136,320
1595656,527
1609180,624
1622696,279
1636216,587
1649736,539
1663256,243
1676772,638
1690296,467
1703820,317
1717336,683
1730856,404
1744380,407
1757892,723
1771416,351
1784932,483
1798460,692
1811976,305
1825496,548
1839020,594
1852532,266
1866056,605
1879576,514
1893096,229
1906612,654
1920136,445
1933660,349
1947176,697
1960696,386
1974212,433
1987736,735
2001256,335
2014776,505
2028300,657
2041812,292
2055336,568
2068860,566
2082376,254
2095896,622
2109416,490
2122940,283
2136456,669
2149976,424
2163500,379
2177016,710
2190536,368
2204052,458
2217572,746
2231096,320
2244612,527
2258140,625
2271656,279
2285176,586
2298696,539
2312216,243
2325736,638
2339256,467
2352780,318
2366296,683
2379816,404
2393340,407
2406856,722
2420372,352
2433892,483
2447420,692
2460936,306
2474456,548
2487980,594
2501496,266
2515016,605
2528532,514
2542056,229
2555572,654
2569092,445
2582620,350
2596132,697
2609656,386
2623176,433
2636696,735
2650216,335
2663736,505
2677260,657
2690776,292
2704296,568
2717820,566
2731336,254
2744856,622
2758376,490
2771900,284
2785412,669
2798932,424
2812460,379
2825976,710
2839492,368
2853016,458
2866536,746
2880056,320
2893576,527
2907100,625
2920616,279
2934132,587
2947656,540
2961176,243
2974696,638
2988212,467
3001740,317
3015252,683
3028776,404
3042300,407
3055816,723
3069332,352
3082856,482
3096380,692
3109896,306
3123416,548
3136940,594
3150456,266
3163976,604
3177492,514
3191016,230
3204536,654
3218056,445
3231580,350
3245096,697
3258616,386
3272136,433
3285656,735
3299176,335
3312696,506
3326220,657
3339732,292
3353256,568
3366780,566
3380296,255
3393816,622
3407336,490
3420860,284
3434376,669
3447896,424
3461420,379
3474936,710
3488452,368
3501976,459
3515496,746
3529016,320
3542536,527
3556060,625
3569576,279
3583096,587
3596612,540
3610136,243
3623656,638
3637176,467
3650700,318
3664216,683
3677736,405
3691260,407
3704772,723
3718292,352
3731812,483
3745340,693
3758856,306
3772376,548
3785900,595
3799416,266
3812936,604
3826456,514
3839976,230
3853496,654
3867016,446
3880540,349
3894052,697
3907576,386
3921092,433
3934616,735
3948136,335
3961656,505
3975180,657
3988696,292
4002216,568
4015740,566
4029256,254
4042776,621
4056296,490
4069820,284
4083332,669
4096856,425
4110380,379
4123896,710
4137416,368
4150936,459
4164456,746
4177976,320
4191496,527
4205020,624
4218536,279
4232052,586
4245572,540
4259096,243
4272616,638
4286136,467
4299660,318
4313176,683
4326696,405
4340220,407
4353736,723
4367252,352
4380772,483
4394300,692
4407816,306
4421336,548
4434860,594
4448376,266
4461896,605
4475416,514
4488936,229
4502456,654
4515972,446
4529500,350
4543016,697
4556536,386
4570052,433
4583576,735
4597096,335
4610616,505
4624140,658
4637656,292
4651176,568
4664700,566
4678216,255
4691732,622
4705256,490
4718780,283
4732296,669
4745816,424
4759340,379
4772852,710
4786376,368
4799896,458
4813416,746
4826936,320
4840456,527
4853980,625
4867496,279
4881012,586
4894536,540
4908056,243
4921576,638
4935096,467
4948620,318
4962132,683
4975656,405
4989180,407
5002696,722
5016216,352
