time,range
1512,514
3008,462
4504,417
6000,479
7496,528
8992,471
10488,429
15900,499
27340,519
38780,449
50220,462
61660,553
73100,491
84540,426
95980,491
107420,528
119900,501
132380,443
144860,461
157340,519
169820,513
182300,452
194780,449
207260,510
219740,525
232220,462
244708,437
257180,501
269660,553
282140,471
294620,417
307100,492
319580,545
332060,481
344540,426
357020,482
369500,536
381980,491
394460,435
406940,471
419420,528
431900,502
444380,443
456860,461
469340,519
481820,513
494300,452
506780,450
519260,510
531740,525
544220,462
556704,437
569180,501
581660,553
594140,471
606620,418
619100,492
631580,545
644060,481
656540,426
669020,482
681500,537
693980,491
706460,435
718940,472
731420,528
743900,502
756380,444
768860,461
781340,520
793820,513
806300,452
818780,449
831260,510
843740,526
856220,462
868704,437
881180,501
893660,553
906140,471
918620,418
931100,492
943580,545
956060,481
968540,426
981020,482
993500,537
1005980,491
1019500,537
1033020,482
1046540,427
1060060,481
1073580,545
1087100,492
1100620,418
1114140,471
1127660,553
1141180,501
1154704,437
1168220,462
1181740,525
1195260,510
1208780,450
1222300,452
1235820,513
1249340,519
1262860,461
1276380,444
1289900,502
1303420,528
1316940,472
1330460,435
1343980,491
1357500,537
1371020,482
1384540,427
1398060,481
1411580,545
1425100,491
1438620,418
1452140,471
1465660,553
1479180,501
1492704,437
1506220,462
1519740,526
1533260,511
1546780,449
1560300,453
1573820,513
1587340,519
1600860,461
1614380,444
1627900,502
1641420,528
1654940,472
1668460,435
1681980,491
1695500,537
1709020,482
1722540,427
1736060,481
1749580,545
1763100,491
1776620,418
1790140,471
1803660,553
1817180,501
1830704,437
1844220,462
1857740,525
1871260,510
1884780,450
1898300,453
1911820,513
1925340,519
1938860,461
1952380,444
1965900,502
1979420,528
1992940,472
2006460,435
2019980,491
2033500,537
2047020,482
2060540,427
2074060,481
2087580,545
2101100,492
2114620,418
2128140,471
2141660,553
2155180,501
2168708,437
2182220,462
2195740,526
2209260,511
2222780,450
2236300,453
2249820,513
2263340,520
2276860,461
2290380,444
2303900,502
2317420,528
2330940,472
2344460,435
2357980,491
2371500,537
2385020,482
2398540,427
2412060,481
2425580,545
2439100,492
2452620,418
2466140,471
2479660,553
2493180,501
2506704,437
2520220,462
2533740,526
2547260,510
2560780,450
2574300,453
2587820,513
2601340,520
2614860,461
2628380,444
2641900,502
2655420,528
2668940,472
2682460,435
2695980,491
2709500,537
2723020,482
2736540,427
2750060,481
2763580,545
2777100,492
2790620,418
2804140,471
2817660,553
2831180,501
2844704,437
2858220,462
2871740,526
2885260,510
2898780,450
2912300,453
2925820,513
2939340,519
2952860,461
2966380,444
2979900,502
2993420,528
3006940,472
3020460,435
3033980,491
3047500,537
3061020,482
3074540,427
3088060,481
3101580,545
3115100,492
3128620,418
3142140,472
3155660,553
3169180,501
3182704,437
3196220,462
3209740,526
3223260,510
3236780,450
3250300,453
3263820,513
3277340,520
3290860,461
3304380,444
3317900,502
3331420,528
3344940,472
3358460,435
3371980,491
3385500,537
3399020,482
3412540,427
3426060,481
3439580,545
3453100,492
3466620,418
3480140,471
3493660,553
3507180,501
3520704,437
3534220,462
3547740,525
3561260,510
3574780,449
3588300,453
3601820,513
3615340,519
3628860,461
3642380,444
3655900,502
3669420,528
3682940,472
3696460,435
3709980,491
3723500,537
3737020,482
3750540,427
3764060,481
3777580,545
3791100,492
3804620,418
3818140,471
3831660,553
3845180,501
3858708,437
3872220,462
3885740,526
3899260,510
3912780,450
3926300,453
3939820,513
3953340,520
3966860,461
3980380,444
3993900,502
4007420,528
4020940,472
4034460,435
4047980,491
4061500,537
4075020,482
4088540,427
4102060,481
4115580,545
4129100,492
4142620,418
4156140,471
4169660,553
4183180,501
4196704,437
4210220,462
4223740,526
4237260,511
4250780,450
4264300,453
4277820,513
4291340,520
4304860,461
4318380,444
4331900,502
4345420,528
4358940,472
4372460,435
4385980,491
4399500,537
4413020,482
4426540,427
4440060,481
4453580,545
4467100,492
4480620,418
4494140,472
4507660,553
4521180,501
4534708,438
4548220,462
4561740,526
4575260,511
4588780,450
4602300,453
4615820,513
4629340,520
4642860,461
4656380,444
4669900,502
4683420,528
4696940,472
4710460,435
4723980,491
4737500,537
4751020,482
4764540,427
4778060,481
4791580,545
4805100,492
4818620,418
4832140,472
4845660,553
4859180,501
4872704,437
4886220,462
4899740,526
4913260,510
4926780,450
4940300,453
4953820,513
4967340,520
4980860,461
4994380,444
5007900,502
5021420,528
5034940,472
