time,signal
118852,0
129252,0
139656,1022
153180,1022
166696,0
177096,0
190616,1022
204132,1022
217656,0
228060,0
238456,1022
251972,0
262372,0
272776,1022
286300,1022
299816,0
310216,0
323736,1022
337256,1022
350776,0
361180,0
371576,1022
385096,0
395492,0
405896,1022
419420,1022
432936,0
443336,0
456852,1022
470376,1022
483896,0
494300,0
504692,1022
518216,1022
528612,0
539016,1022
552540,1022
566056,0
576456,0
589976,0
603496,1022
617016,1022
627420,0
637816,0
651336,1022
661736,1022
672132,1022
685660,0
699176,0
709576,1022
723096,1022
736616,1022
750132,0
760540,0
770936,1021
784456,0
794856,0
805256,1022
818780,1021
832296,0
842692,0
856212,1022
869736,1022
883256,0
893660,0
904052,1022
917576,0
927976,0
938376,1022
951900,1021
965412,0
975812,0
989336,1022
1002856,1022
1017412,0
1028856,0
1040296,1022
1054856,1022
1069416,1022
1083972,0
1095416,0
1106856,1022
1121416,1022
1135976,1022
1150536,0
1161976,0
1173412,1022
1187976,1022
1202536,1022
1217092,0
1228536,0
1239972,1022
1254532,1022
1269096,1022
1283656,0
1295096,0
1306536,1022
1321096,1021
1335656,1022
1350216,0
1361652,0
1373092,1022
1387652,1022
1402216,1022
1416772,0
1428212,0
1439656,1022
1454216,1022
1468772,1022
1483336,0
1494776,0
1506212,1022
1520776,1022
1535336,1022
1549892,0
1561336,0
1572772,1022
1587336,1022
1601896,1022
1616456,0
1627892,0
